4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,800	47,10	-0,19	-0,21	3,800	42,01	0,25	0,01	3,800	38,06	0,06	0,11
3,820	46,72	-0,19	-0,32	3,820	42,51	0,25	-0,22	3,820	38,19	0,07	0,11
3,840	46,33	-0,20	-0,33	3,840	42,99	0,24	-0,11	3,840	38,33	0,07	0,01
3,860	45,92	-0,21	-0,21	3,860	43,47	0,24	-0,09	3,860	38,47	0,07	-0,11
3,880	45,51	-0,21	-0,33	3,880	43,95	0,24	-0,32	3,880	38,61	0,06	-0,01
3,900	45,08	-0,22	-0,23	3,900	44,42	0,23	-0,33	3,900	38,73	0,07	0,23
3,920	44,63	-0,22	0,01	3,920	44,86	0,22	-0,21	3,920	38,88	0,07	-0,11
3,940	44,20	-0,22	-0,21	3,940	45,31	0,22	-0,31	3,940	39,02	0,06	-0,12
3,960	43,75	-0,23	-0,34	3,960	45,74	0,21	-0,42	3,960	39,14	0,07	0,12
3,980	43,29	-0,23	-0,11	3,980	46,16	0,20	-0,54	3,980	39,30	0,07	-0,11
4,000	42,82	-0,23	-1,98E-13	4,000	46,55	0,19	-0,54	4,000	39,41	0,06	8,63E-5
4,020	42,36	-0,23	1,24E-13	4,020	46,91	0,18	-0,42	4,020	39,55	0,07	0,01
4,040	41,89	-0,23	-0,01	4,040	47,28	0,17	-0,54	4,040	39,69	0,06	-0,11
4,060	41,43	-0,23	0,11	4,060	47,61	0,16	-0,54	4,060	39,81	0,06	0,01
4,080	40,96	-0,23	0,11	4,080	47,92	0,15	-0,52	4,080	39,95	0,06	-0,22
4,100	40,52	-0,23	5,69E-14	4,100	48,21	0,14	-0,75	4,100	40,07	0,06	-0,12
4,120	40,05	-0,23	3,47E-14	4,120	48,47	0,12	-0,76	4,120	40,17	0,06	0,13
4,140	39,60	-0,23	-0,01	4,140	48,70	0,11	-0,64	4,140	40,31	0,06	-0,22
4,160	39,14	-0,23	0,21	4,160	48,90	0,10	-0,64	4,160	40,41	0,05	-0,12
4,180	38,69	-0,22	0,33	4,180	49,08	0,08	-0,64	4,180	40,52	0,06	0,12
4,200	38,26	-0,22	0,22	4,200	49,23	0,07	-0,74	4,200	40,64	0,06	-0,11
4,220	37,83	-0,21	0,22	4,220	49,36	0,05	-0,87	4,220	40,74	0,05	-0,11
4,240	37,42	-0,21	0,20	4,240	49,45	0,04	-0,75	4,240	40,84	0,05	0,01
4,260	37,00	-0,20	0,43	4,260	49,50	0,02	-0,74	4,260	40,95	0,05	-0,10
4,280	36,60	-0,19	0,44	4,280	49,54	0,01	-0,87	4,280	41,05	0,05	-0,23
4,300	36,24	-0,19	0,20	4,300	49,52	-0,01	-0,76	4,300	41,14	0,04	-0,01
4,320	35,86	-0,18	0,43	4,320	49,49	-0,02	-0,65	4,320	41,22	0,05	0,13
4,340	35,52	-0,17	0,44	4,340	49,42	-0,04	-0,63	4,340	41,33	0,05	-0,21
4,360	35,19	-0,16	0,20	4,360	49,34	-0,05	-0,86	4,360	41,41	0,04	-0,23
4,380	34,86	-0,16	0,42	4,380	49,22	-0,07	-0,88	4,380	41,48	0,04	0,11
4,400	34,55	-0,15	0,65	4,400	49,05	-0,09	-0,64	4,400	41,57	0,04	0,11
4,420	34,28	-0,13	0,54	4,420	48,88	-0,10	-0,76	4,420	41,65	0,04	0,01
4,440	34,02	-0,13	0,44	4,440	48,66	-0,12	-0,65	4,440	41,74	0,04	-0,11
4,460	33,77	-0,12	0,20	4,460	48,42	-0,12	-0,52	4,460	41,83	0,04	-0,11
4,480	33,55	-0,12	0,53	4,480	48,16	-0,14	-0,75	4,480	41,89	0,04	1,32E-14
4,500	33,31	-0,10	0,76	4,500	47,87	-0,15	-0,77	4,500	41,98	0,04	-8,33E-15
4,520	33,17	-0,09	0,52	4,520	47,55	-0,17	-0,55	4,520	42,05	0,04	8,33E-15
4,540	32,96	-0,07	0,89	4,540	47,20	-0,18	-0,32	4,540	42,14	0,04	4,30E-14
4,560	32,87	-0,05	0,33	4,560	46,84	-0,18	-0,31	4,560	42,20	0,04	-8,33E-15
4,580	32,75	-0,06	0,07	4,580	46,48	-0,19	-0,54	4,580	42,29	0,04	-0,01
4,600	32,63	-0,05	0,97	4,600	46,09	-0,20	-0,55	4,600	42,36	0,04	0,11
4,620	32,56	-0,02	0,99	4,620	45,68	-0,21	-0,43	4,620	42,44	0,04	0,01
4,640	32,54	-0,01	0,43	4,640	45,25	-0,22	-0,44	4,640	42,53	0,04	-0,12
4,660	32,53	0,00	0,43	4,660	44,80	-0,23	-0,33	4,660	42,60	0,04	0,11
4,680	32,52	0,01	0,43	4,680	44,34	-0,23	-0,22	4,680	42,69	0,04	0,11
4,700	32,56	0,01	0,40	4,700	43,87	-0,24	-0,22	4,700	42,77	0,04	-3,47E-14
4,720	32,57	0,02	0,97	4,720	43,39	-0,24	-0,11	4,720	42,86	0,04	-0,01
4,740	32,66	0,05	0,89	4,740	42,91	-0,24	-0,11	4,740	42,94	0,04	0,11
4,760	32,78	0,06	0,32	4,760	42,43	-0,25	-0,11	4,760	43,03	0,05	0,11
4,780	32,90	0,06	0,31	4,780	41,93	-0,25	-2,03E-13	4,780	43,13	0,05	-0,01
4,800	33,03	0,07	0,53	4,800	41,45	-0,25	-0,01	4,800	43,22	0,05	0,11
4,820	33,19	0,09	0,65	4,820	40,95	-0,25	0,11	4,820	43,32	0,05	0,01
4,840	33,38	0,10	0,54	4,840	40,47	-0,24	0,11	4,840	43,42	0,05	-0,12
