4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel
Zeit2 (s)	Zeit2 (s)	Zeit2 (s)	Position2 (cm)	Position2 (cm)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
2,600	2,600	2,600	36,63	45,85	0,21	-0,22	-0,16	0,33	-0,33	-0,22	2,600	54,13	-0,19	-0,42
2,620	2,620	2,620	37,04	45,40	0,21	-0,22	-0,16	0,21	-0,21	-0,10	2,620	53,73	-0,20	-0,54
2,640	2,640	2,640	37,47	44,96	0,21	-0,23	-0,17	0,21	-0,32	-0,22	2,640	53,32	-0,21	-0,56
2,660	2,660	2,660	37,90	44,49	0,22	-0,24	-0,17	0,21	-0,33	-0,22	2,660	52,87	-0,22	-0,32
2,680	2,680	2,680	38,35	44,01	0,22	-0,24	-0,18	0,21	-0,22	-0,22	2,680	52,43	-0,23	-0,32
2,700	2,700	2,700	38,79	43,53	0,23	-0,25	-0,18	0,21	-0,22	-0,11	2,700	51,96	-0,24	-0,33
2,720	2,720	2,720	39,26	43,03	0,23	-0,25	-0,18	0,21	-0,11	-0,10	2,720	51,48	-0,24	-0,21
2,740	2,740	2,740	39,72	42,53	0,24	-0,25	-0,18	0,23	0,01	-0,22	2,740	51,00	-0,24	-0,32
2,760	2,760	2,760	40,20	42,03	0,24	-0,25	-0,19	-0,10	-0,11	-0,12	2,760	50,50	-0,25	-0,45
2,780	2,780	2,780	40,69	41,53	0,23	-0,25	-0,19	-0,24	-0,13	0,11	2,780	49,99	-0,26	-0,22
2,800	2,800	2,800	41,13	41,02	0,23	-0,25	-0,19	0,21	0,22	0,11	2,800	49,45	-0,26	-0,10
2,820	2,820	2,820	41,61	40,52	0,24	-0,25	-0,18	0,23	0,23	-0,01	2,820	48,94	-0,27	-0,22
2,840	2,840	2,840	42,09	40,04	0,24	-0,25	-0,19	-0,10	-0,01	0,11	2,840	48,39	-0,27	-0,11
2,860	2,860	2,860	42,58	39,54	0,24	-0,25	-0,18	-0,22	0,21	0,11	2,860	47,85	-0,27	-0,11
2,880	2,880	2,880	43,04	39,05	0,23	-0,24	-0,18	-0,11	0,32	-0,01	2,880	47,30	-0,28	-0,12
