Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit2 (s)	Winkel2 (rad)	Winkelgeschwindigkeit2 (rad/s)	Winkelbeschleunigung2 (rad/s²)	Position2 (m)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beleuchtungsstärke2 (lux)	Relative Intensität2	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
4,400	-0,421	-0,141	-1,388E-14	-0,0101	-0,003	-3,339E-16	0,1	9,77E-4	4,400	-0,322	-0,141	-0,314	-0,0077	-0,003	-0,008	0,1	0,00
4,450	-0,427	-0,157	0,157	-0,0102	-0,004	0,004	0,1	9,61E-4	4,450	-0,331	-0,157	0,157	-0,0079	-0,004	0,004	0,1	0,00
4,500	-0,437	-0,126	0,628	-0,0104	-0,003	0,015	0,1	9,77E-4	4,500	-0,338	-0,126	0,785	-0,0081	-0,003	0,019	0,1	0,00
4,550	-0,440	-0,094	-0,157	-0,0105	-0,002	-0,004	0,1	9,77E-4	4,550	-0,344	-0,079	1,110E-14	-0,0082	-0,002	4,424E-16	0,1	0,00
4,600	-0,446	-0,141	-0,471	-0,0107	-0,003	-0,011	0,1	9,61E-4	4,600	-0,346	-0,126	-0,628	-0,0083	-0,003	-0,015	0,1	0,00
4,650	-0,454	-0,141	-0,157	-0,0108	-0,003	-0,004	0,1	9,61E-4	4,650	-0,357	-0,141	0,314	-0,0085	-0,003	0,007	0,1	0,00
4,700	-0,460	-0,157	-0,628	-0,0110	-0,004	-0,015	0,1	0,00	4,700	-0,360	-0,094	-0,314	-0,0086	-0,002	-0,008	0,1	0,00
4,750	-0,470	-0,204	1,388E-14	-0,0112	-0,005	3,339E-16	0,1	0,00	4,750	-0,366	-0,173	-0,785	-0,0087	-0,004	-0,019	0,1	0,00
4,800	-0,481	-0,157	1,414	-0,0115	-0,004	0,034	0,1	0,00	4,800	-0,377	-0,173	0,785	-0,0090	-0,004	0,019	0,1	0,00
4,850	-0,485	-0,063	0,785	-0,0116	-0,001	0,019	0,1	0,00	4,850	-0,383	-0,094	0,785	-0,0092	-0,002	0,019	0,1	0,00
4,900	-0,487	-0,079	-0,785	-0,0116	-0,002	-0,019	0,1	9,61E-4	4,900	-0,386	-0,094	-0,628	-0,0092	-0,002	-0,015	0,1	0,00
4,950	-0,493	-0,141	-0,785	-0,0118	-0,003	-0,019	0,1	9,31E-4	4,950	-0,393	-0,157	-0,314	-0,0094	-0,004	-0,007	0,1	0,00
5,000	-0,501	-0,157	-0,157	-0,0120	-0,004	-0,004	0,1	9,16E-4	5,000	-0,402	-0,126	0,314	-0,0096	-0,003	0,008	0,1	0,00
5,050	-0,509	-0,157	0,628	-0,0122	-0,004	0,015	0,1	9,16E-4	5,050	-0,405	-0,126	-0,471	-0,0097	-0,003	-0,011	0,1	0,00
5,100	-0,517	-0,094	0,471	-0,0123	-0,002	0,011	0,1	9,00E-4	5,100	-0,415	-0,173	-0,157	-0,0099	-0,004	-0,004	0,1	0,00
5,150	-0,518	-0,110	-1,100	-0,0124	-0,003	-0,026	0,1	9,00E-4	5,150	-0,423	-0,141	1,100	-0,0101	-0,003	0,026	0,1	0,00
5,200	-0,528	-0,204	-0,628	-0,0126	-0,005	-0,015	0,1	9,16E-4	5,200	-0,429	-0,063	0,471	-0,0102	-0,002	0,011	0,1	0,00
5,250	-0,539	-0,173	0,785	-0,0129	-0,004	0,019	0,1	9,16E-4	5,250	-0,429	-0,094	-0,785	-0,0102	-0,002	-0,019	0,1	0,00
5,300	-0,545	-0,126	0,628	-0,0130	-0,003	0,015	0,1	9,31E-4	5,300	-0,438	-0,141	-0,157	-0,0105	-0,003	-0,004	0,1	0,00
5,350	-0,551	-0,110	0,157	-0,0132	-0,003	0,004	0,1	9,46E-4	5,350	-0,443	-0,110	-1,249E-14	-0,0106	-0,003	-4,727E-16	0,1	0,00
5,400	-0,556	-0,110	-0,157	-0,0133	-0,003	-0,004	0,1	9,61E-4	5,400	-0,449	-0,141	-0,157	-0,0107	-0,003	-0,004	0,1	0,00
5,450	-0,562	-0,126	-0,157	-0,0134	-0,003	-0,004	0,1	9,46E-4	5,450	-0,457	-0,126	0,314	-0,0109	-0,003	0,008	0,1	0,00
5,500	-0,569	-0,126	0,157	-0,0136	-0,003	0,004	0,1	9,61E-4	5,500	-0,462	-0,110	0,157	-0,0110	-0,003	0,004	0,1	0,00
5,550	-0,575	-0,110	-0,314	-0,0137	-0,003	-0,008	0,1	9,77E-4	5,550	-0,468	-0,110	-0,157	-0,0112	-0,003	-0,004	0,1	0,00
5,600	-0,580	-0,157	-0,942	-0,0138	-0,004	-0,023	0,1	9,92E-4	5,600	-0,473	-0,126	-9,714E-15	-0,0113	-0,003	-2,342E-16	0,1	0,00
5,650	-0,591	-0,204	0,471	-0,0141	-0,005	0,011	0,1	9,92E-4	5,650	-0,481	-0,110	0,628	-0,0115	-0,003	0,015	0,1	0,00
5,700	-0,600	-0,110	1,100	-0,0143	-0,003	0,026	0,1	9,77E-4	5,700	-0,484	-0,063	0,314	-0,0116	-0,002	0,008	0,1	0,00
5,750	-0,602	-0,094	-0,314	-0,0144	-0,002	-0,007	0,1	9,92E-4	5,750	-0,487	-0,079	-0,471	-0,0116	-0,002	-0,011	0,1	0,00
5,800	-0,609	-0,141	-0,314	-0,0146	-0,003	-0,008	0,1	9,92E-4	5,800	-0,492	-0,110	-0,471	-0,0117	-0,003	-0,011	0,1	0,00
5,850	-0,616	-0,126	-0,157	-0,0147	-0,003	-0,004	0,1	9,92E-4	5,850	-0,498	-0,126	-0,314	-0,0119	-0,003	-0,008	0,1	0,00
5,900	-0,622	-0,157	-0,471	-0,0149	-0,004	-0,011	0,1	9,92E-4	5,900	-0,504	-0,141	0,157	-0,0120	-0,003	0,004	0,1	0,00
5,950	-0,631	-0,173	0,471	-0,0151	-0,004	0,011	0,1	9,77E-4	5,950	-0,512	-0,110	0,471	-0,0122	-0,003	0,011	0,1	0,00
6,000	-0,639	-0,110	1,257	-0,0153	-0,003	0,030	0,1	9,92E-4	6,000	-0,515	-0,094	9,714E-15	-0,0123	-0,002	2,342E-16	0,1	0,00
6,050	-0,642	-0,047	0,157	-0,0153	-0,001	0,004	0,1	9,92E-4	6,050	-0,522	-0,110	0,314	-0,0125	-0,003	0,007	0,1	0,00
6,100	-0,644	-0,094	-1,257	-0,0154	-0,002	-0,030	0,1	0,00	6,100	-0,526	-0,063	0,785	-0,0126	-0,001	0,019	0,1	0,00
6,150	-0,652	-0,173	-0,942	-0,0156	-0,004	-0,023	0,1	9,77E-4	6,150	-0,528	-0,031	0,000	-0,0126	-7,500E-4	0,000	0,1	0,00
6,200	-0,661	-0,188	-0,157	-0,0158	-0,005	-0,004	0,1	9,77E-4	6,200	-0,529	-0,063	-0,942	-0,0126	-0,001	-0,023	0,1	0,00
6,250	-0,671	-0,188	0,314	-0,0160	-0,004	0,008	0,1	9,77E-4	6,250	-0,534	-0,126	-0,628	-0,0128	-0,003	-0,015	0,1	0,00
6,300	-0,680	-0,157	0,942	-0,0162	-0,004	0,022	0,1	9,77E-4	6,300	-0,542	-0,126	0,628	-0,0129	-0,003	0,015	0,1	0,00
6,350	-0,686	-0,094	0,785	-0,0164	-0,002	0,019	0,1	9,77E-4	6,350	-0,547	-0,063	1,257	-0,0131	-0,001	0,030	0,1	0,00
6,400	-0,690	-0,079	-0,314	-0,0165	-0,002	-0,008	0,1	9,77E-4	6,400	-0,548	0,000	0,785	-0,0131	0,000	0,019	0,1	0,00
6,450	-0,694	-0,126	-0,628	-0,0166	-0,003	-0,015	0,1	0,00	6,450	-0,547	0,016	-0,157	-0,0131	3,750E-4	-0,004	0,1	0,00
6,500	-0,702	-0,141	-0,314	-0,0168	-0,003	-0,007	0,1	9,77E-4	6,500	-0,547	-0,016	-0,785	-0,0131	-3,750E-4	-0,019	0,1	0,00
6,550	-0,708	-0,157	-0,314	-0,0169	-0,004	-0,008	0,1	9,77E-4	6,550	-0,548	-0,063	-0,942	-0,0131	-0,001	-0,023	0,1	0,00
6,600	-0,718	-0,173	0,157	-0,0171	-0,004	0,004	0,1	9,92E-4	6,600	-0,553	-0,110	-5,551E-15	-0,0132	-0,003	-3,079E-16	0,1	0,00
6,650	-0,726	-0,141	0,942	-0,0173	-0,003	0,023	0,1	9,92E-4	6,650	-0,559	-0,063	0,471	-0,0134	-0,002	0,011	0,1	0,00
6,700	-0,732	-0,079	0,785	-0,0175	-0,002	0,019	0,1	9,61E-4	6,700	-0,559	-0,063	-0,314	-0,0134	-0,002	-0,008	0,1	0,00
6,750	-0,734	-0,063	-0,471	-0,0175	-0,002	-0,011	0,1	9,61E-4	6,750	-0,565	-0,094	5,551E-15	-0,0135	-0,002	1,344E-16	0,1	0,00
6,800	-0,738	-0,126	-1,100	-0,0176	-0,003	-0,026	0,1	9,61E-4	6,800	-0,569	-0,063	0,157	-0,0136	-0,002	0,004	0,1	0,00
6,850	-0,746	-0,173	-0,471	-0,0178	-0,004	-0,011	0,1	9,61E-4	6,850	-0,572	-0,079	-0,314	-0,0137	-0,002	-0,008	0,1	0,00
6,900	-0,756	-0,173	0,157	-0,0180	-0,004	0,004	0,1	9,77E-4	6,900	-0,576	-0,094	-0,157	-0,0138	-0,002	-0,004	0,1	0,00
