4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
4,480	49,73	0,11	-0,11	4,480	46,38	0,16	2,46E-13	4,480	48,79	0,26	-0,32
4,500	49,95	0,11	-0,09	4,500	46,69	0,16	1,76E-13	4,500	49,31	0,25	-0,33
4,520	50,16	0,10	-0,32	4,520	47,02	0,16	-1,76E-13	4,520	49,81	0,25	-0,21
4,540	50,37	0,09	-0,34	4,540	47,33	0,16	0,01	4,540	50,31	0,25	-0,41
4,560	50,54	0,09	-0,10	4,560	47,66	0,16	-0,10	4,560	50,79	0,23	0,75
4,580	50,73	0,09	-0,20	4,580	47,97	0,16	-0,21	4,580	51,24	0,28	2,56
4,600	50,90	0,08	-0,45	4,600	48,28	0,15	-0,21	4,600	51,89	0,34	-0,09
4,620	51,06	0,07	-0,22	4,620	48,57	0,15	-0,31	4,620	52,58	0,27	-3,51
4,640	51,19	0,07	-0,17	4,640	48,86	0,14	-0,44	4,640	52,98	0,20	-2,58
4,660	51,35	0,07	0,85	4,660	49,12	0,13	-0,21	4,660	53,37	0,17	-1,12
4,680	51,46	0,11	-0,38	4,680	49,38	0,13	-0,20	4,680	53,66	0,15	-0,54
