4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl
Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²)
2.44;52.26;-0.02;-0.32;2.44;42.97;0.09;0.42;2.44;48;0.14;0.22
2.46;52.22;-0.02;-0.31;2.46;43.14;0.09;0.54;2.46;48.29;0.15;0.11
2.48;52.17;-0.03;-0.44;2.48;43.35;0.11;0.44;2.48;48.59;0.15;0.01
2.5;52.11;-0.04;-0.24;2.5;43.57;0.11;0.32;2.5;48.88;0.15;-0.11
2.52;52.02;-0.04;-1.48;2.52;43.79;0.12;0.44;2.52;49.17;0.14;-0.12
2.54;51.95;-0.1;-0.4;2.54;44.05;0.13;0.32;2.54;49.45;0.14;0.01
2.56;51.63;-0.06;0.92;2.56;44.31;0.13;0.32;2.56;49.74;0.14;-0.11
2.58;51.73;-0.06;-1.6;2.58;44.58;0.14;0.33;2.58;50.01;0.14;-0.11
2.6;51.39;-0.12;-0.3;2.6;44.87;0.15;0.21;2.6;50.29;0.14;-0.1
2.62;51.25;-0.07;0.95;2.62;45.16;0.15;0.22;2.62;50.57;0.13;-0.21
2.64;51.1;-0.08;-0.33;2.64;45.47;0.15;0.11;2.64;50.82;0.13;-0.21
2.66;50.92;-0.09;-0.22;2.66;45.78;0.15;0.1;2.66;51.08;0.13;-0.4
2.68;50.75;-0.09;-0.22;2.68;46.09;0.16;0.22;2.68;51.33;0.11;0.74
2.7;50.56;-0.09;-0.22;2.7;46.42;0.16;0.11;2.7;51.54;0.16;1.02
2.72;50.38;-0.1;-0.22;2.72;46.74;0.16;-6.94E-14;2.72;51.95;0.15;-1.39
2.74;50.17;-0.1;-0.21;2.74;47.07;0.16;0.01;2.74;52.15;0.1;-0.06
2.76;49.97;-0.11;-0.33;2.76;47.4;0.16;-0.1;2.76;52.34;0.15;0.97
2.78;49.74;-0.12;-0.22;2.78;47.73;0.16;-0.21;2.78;52.76;0.14;-2.17
2.8;49.5;-0.12;-0.1;2.8;48.04;0.16;-0.22;2.8;52.9;0.07;-2.05
2.82;49.28;-0.12;-0.23;2.82;48.35;0.15;-0.11;2.82;53.02;0.06;-0.42
2.84;49.02;-0.13;0.01;2.84;48.64;0.15;0.02;2.84;53.12;0.05;-0.53
2.86;48.78;-0.12;-0.09;2.86;48.95;0.15;-0.31;2.86;53.21;0.04;-0.64
