3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,700	-6,264	34,086	70,686	-0,1496	0,814	1,688	3,700	1,076	12,598	-1,100	0,0257	0,301	-0,026	3,700	-17,353	-20,844	110,584	-0,4143	-0,498	2,640
3,750	-4,469	36,867	39,113	-0,1067	0,880	0,934	3,750	1,704	12,252	-12,252	0,0407	0,292	-0,293	3,750	-18,256	-14,923	124,093	-0,4358	-0,356	2,963
3,800	-2,578	37,998	6,597	-0,0615	0,907	0,157	3,800	2,301	11,373	-22,462	0,0549	0,271	-0,536	3,800	-18,845	-8,435	131,947	-0,4499	-0,201	3,150
3,850	-0,669	37,526	-26,232	-0,0160	0,896	-0,626	3,850	2,842	10,006	-31,416	0,0678	0,239	-0,750	3,850	-19,099	-1,728	133,832	-0,4560	-0,041	3,195
3,900	1,175	35,374	-59,376	0,0280	0,844	-1,417	3,900	3,302	8,231	-38,642	0,0788	0,196	-0,922	3,900	-19,018	4,948	130,376	-0,4540	0,118	3,112
3,950	2,868	31,589	-90,321	0,0685	0,754	-2,156	3,950	3,665	6,142	-44,296	0,0875	0,147	-1,057	3,950	-18,605	11,310	121,266	-0,4441	0,270	2,895
4,000	4,334	26,342	-117,496	0,1035	0,629	-2,805	4,000	3,916	3,801	-47,752	0,0935	0,091	-1,140	4,000	-17,887	17,075	107,757	-0,4270	0,408	2,573
4,050	5,503	19,839	-139,644	0,1314	0,474	-3,334	4,050	4,045	1,367	-47,909	0,0966	0,033	-1,144	4,050	-16,897	22,085	90,949	-0,4034	0,527	2,171
4,100	6,318	12,378	-154,566	0,1508	0,295	-3,690	4,100	4,053	-0,990	-45,239	0,0967	-0,024	-1,080	4,100	-15,678	26,169	70,058	-0,3743	0,625	1,672
4,150	6,740	4,383	-160,850	0,1609	0,105	-3,840	4,150	3,946	-3,157	-41,155	0,0942	-0,075	-0,983	4,150	-14,280	29,091	45,239	-0,3409	0,694	1,080
4,200	6,756	-3,707	-158,651	0,1613	-0,089	-3,788	4,200	3,737	-5,105	-36,285	0,0892	-0,122	-0,866	4,200	-12,769	30,693	18,692	-0,3048	0,733	0,446
4,250	6,370	-11,483	-149,226	0,1521	-0,274	-3,562	4,250	3,435	-6,786	-30,159	0,0820	-0,162	-0,720	4,250	-11,211	30,960	-8,482	-0,2676	0,739	-0,203
4,300	5,608	-18,630	-133,518	0,1339	-0,445	-3,187	4,300	3,058	-8,121	-22,777	0,0730	-0,194	-0,544	4,300	-9,673	29,845	-35,500	-0,2309	0,712	-0,848
4,350	4,507	-24,834	-111,684	0,1076	-0,593	-2,666	4,350	2,623	-9,064	-14,137	0,0626	-0,216	-0,337	4,350	-8,226	27,410	-60,790	-0,1964	0,654	-1,451
4,400	3,124	-29,798	-84,823	0,0746	-0,711	-2,025	4,400	2,152	-9,535	-5,027	0,0514	-0,228	-0,120	4,400	-6,932	23,766	-83,409	-0,1655	0,567	-1,991
4,450	1,527	-33,317	-54,193	0,0364	-0,795	-1,294	4,450	1,670	-9,566	3,456	0,0399	-0,228	0,082	4,450	-5,850	19,069	-102,730	-0,1396	0,455	-2,453
4,500	-0,207	-35,217	-22,305	-0,0050	-0,841	-0,532	4,500	1,195	-9,189	11,624	0,0285	-0,219	0,278	4,500	-5,025	13,493	-117,967	-0,1200	0,322	-2,816
4,550	-1,995	-35,547	8,168	-0,0476	-0,849	0,195	4,550	0,751	-8,404	19,321	0,0179	-0,201	0,461	4,550	-4,500	7,273	-126,763	-0,1074	0,174	-3,026
4,600	-3,762	-34,400	37,699	-0,0898	-0,821	0,900	4,600	0,355	-7,257	25,918	0,0085	-0,173	0,619	4,600	-4,298	0,817	-127,706	-0,1026	0,019	-3,049
4,650	-5,435	-31,777	66,445	-0,1298	-0,759	1,586	4,650	0,025	-5,812	30,945	6,0000E-4	-0,139	0,739	4,650	-4,419	-5,498	-122,522	-0,1055	-0,131	-2,925
4,700	-6,940	-27,756	92,049	-0,1657	-0,663	2,198	4,700	-0,226	-4,163	34,558	-0,0054	-0,099	0,825	4,700	-4,847	-11,435	-112,783	-0,1157	-0,273	-2,693
4,750	-8,211	-22,572	112,626	-0,1960	-0,539	2,689	4,750	-0,391	-2,356	36,285	-0,0093	-0,056	0,866	4,750	-5,562	-16,776	-97,861	-0,1328	-0,401	-2,336
4,800	-9,197	-16,493	128,177	-0,2196	-0,394	3,060	4,800	-0,462	-0,534	35,343	-0,0110	-0,013	0,844	4,800	-6,525	-21,221	-78,226	-0,1558	-0,507	-1,867
4,850	-9,860	-9,755	138,073	-0,2354	-0,233	3,296	4,850	-0,445	1,178	32,987	-0,0106	0,028	0,788	4,850	-7,684	-24,599	-55,763	-0,1834	-0,587	-1,331
4,900	-10,172	-2,686	141,529	-0,2429	-0,064	3,379	4,900	-0,344	2,765	29,845	-0,0082	0,066	0,713	4,900	-8,985	-26,798	-31,416	-0,2145	-0,640	-0,750
4,950	-10,129	4,398	139,016	-0,2418	0,105	3,319	4,950	-0,168	4,163	25,604	-0,0040	0,099	0,611	4,950	-10,364	-27,740	-6,754	-0,2474	-0,662	-0,161
5,000	-9,733	11,215	130,690	-0,2324	0,268	3,120	5,000	0,072	5,325	20,735	0,0017	0,127	0,495	5,000	-11,759	-27,473	16,650	-0,2807	-0,656	0,398
5,050	-9,007	17,467	117,339	-0,2150	0,417	2,801	5,050	0,364	6,236	15,237	0,0087	0,149	0,364	5,050	-13,111	-26,075	38,799	-0,3130	-0,622	0,926
5,100	-7,986	22,949	100,217	-0,1907	0,548	2,393	5,100	0,696	6,849	8,796	0,0166	0,164	0,210	5,100	-14,367	-23,593	60,004	-0,3430	-0,563	1,432
5,150	-6,712	27,489	79,168	-0,1602	0,656	1,890	5,150	1,049	7,116	2,042	0,0250	0,170	0,049	5,150	-15,471	-20,075	78,697	-0,3693	-0,479	1,879
5,200	-5,237	30,866	53,564	-0,1250	0,737	1,279	5,200	1,407	7,053	-4,241	0,0336	0,168	-0,101	5,200	-16,374	-15,724	92,991	-0,3909	-0,375	2,220
5,250	-3,625	32,845	24,976	-0,0866	0,784	0,596	5,250	1,755	6,692	-10,210	0,0419	0,160	-0,244	5,250	-17,043	-10,776	103,044	-0,4069	-0,257	2,460
5,300	-1,953	33,364	-3,770	-0,0466	0,796	-0,090	5,300	2,077	6,032	-15,865	0,0496	0,144	-0,379	5,300	-17,452	-5,419	108,071	-0,4166	-0,129	2,580
