2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
20,300	8,481	12,064	-83,409	0,2025	0,288	-1,991
20,350	8,977	7,618	-92,049	0,2143	0,182	-2,197
20,400	9,243	2,859	-95,819	0,2206	0,068	-2,287
20,450	9,263	-1,963	-94,719	0,2211	-0,047	-2,261
20,500	9,046	-6,613	-89,221	0,2160	-0,158	-2,130
20,550	8,602	-10,886	-79,797	0,2053	-0,260	-1,905
20,600	7,958	-14,593	-67,544	0,1900	-0,348	-1,612
20,650	7,142	-17,640	-52,622	0,1705	-0,421	-1,256
20,700	6,194	-19,855	-35,343	0,1479	-0,474	-0,844
20,750	5,157	-21,174	-17,436	0,1231	-0,506	-0,416
20,800	4,076	-21,598	0,942	0,0973	-0,516	0,023
20,850	2,997	-21,080	19,949	0,0715	-0,503	0,476
20,900	1,968	-19,604	37,856	0,0470	-0,468	0,904
20,950	1,037	-17,294	53,878	0,0247	-0,413	1,286
21,000	0,239	-14,216	68,173	0,0057	-0,339	1,628
21,050	-0,385	-10,477	79,482	-0,0092	-0,250	1,898
