4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 6,84V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 8V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 9V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 11V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 14V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s) 18V	Beschleunigung (m/s²)
8,700	0,595	-0,220	-8,482	0,0142	-0,005	-0,203	8,700	-0,254	3,896	-14,923	-0,0061	0,093	-0,356	8,700	1,525	-19,619	2,356	0,0364	-0,468	0,056	8,700	-0,215	-1,445	31,259	-0,0051	-0,034	0,746	8,700	-0,079	1,759	-10,839	-0,0019	0,042	-0,259	8,700	0,066	-1,147	-5,655	0,0016	-0,027	-0,135
8,750	0,573	-0,613	-7,540	0,0137	-0,015	-0,180	8,750	-0,079	3,079	-17,436	-0,0019	0,074	-0,416	8,750	0,547	-19,132	17,593	0,0131	-0,457	0,420	8,750	-0,247	0,141	31,102	-0,0059	0,003	0,743	8,750	-0,005	1,115	-14,137	-1,1250E-4	0,027	-0,337	8,750	0,002	-1,351	-2,042	3,7500E-5	-0,032	-0,049
8,800	0,534	-0,974	-7,226	0,0127	-0,023	-0,172	8,800	0,053	2,152	-19,478	0,0013	0,051	-0,465	8,800	-0,388	-17,860	32,673	-0,0093	-0,426	0,780	8,800	-0,201	1,665	29,531	-0,0048	0,040	0,705	8,800	0,033	0,346	-15,551	7,8750E-4	0,008	-0,371	8,800	-0,069	-1,351	2,827	-0,0016	-0,032	0,067
8,850	0,476	-1,335	-7,226	0,0114	-0,032	-0,172	8,850	0,137	1,131	-20,420	0,0033	0,027	-0,488	8,850	-1,239	-15,865	46,496	-0,0296	-0,379	1,110	8,850	-0,080	3,094	26,704	-0,0019	0,074	0,637	8,850	0,030	-0,440	-14,923	7,1250E-4	-0,011	-0,356	8,850	-0,134	-1,068	8,011	-0,0032	-0,026	0,191
8,900	0,401	-1,696	-7,226	0,0096	-0,040	-0,173	8,900	0,167	0,110	-19,635	0,0040	0,003	-0,469	8,900	-1,974	-13,210	59,062	-0,0471	-0,315	1,410	8,900	0,108	4,335	22,305	0,0026	0,103	0,532	8,900	-0,011	-1,147	-13,195	-2,6250E-4	-0,027	-0,315	8,900	-0,176	-0,550	10,839	-0,0042	-0,013	0,259
8,950	0,306	-2,058	-6,597	0,0073	-0,049	-0,158	8,950	0,148	-0,833	-18,378	0,0035	-0,020	-0,439	8,950	-2,560	-9,959	69,272	-0,0611	-0,238	1,654	8,950	0,353	5,325	16,808	0,0084	0,127	0,401	8,950	-0,085	-1,759	-10,681	-0,0020	-0,042	-0,255	8,950	-0,188	0,016	10,524	-0,0045	3,750E-4	0,251
9,000	0,195	-2,356	-5,498	0,0046	-0,056	-0,131	9,000	0,083	-1,728	-17,436	0,0020	-0,041	-0,416	9,000	-2,970	-6,283	75,712	-0,0709	-0,150	1,807	9,000	0,641	6,016	10,210	0,0153	0,144	0,244	9,000	-0,187	-2,215	-7,069	-0,0045	-0,053	-0,169	9,000	-0,174	0,503	8,954	-0,0042	0,012	0,214
9,050	0,071	-2,608	-4,712	0,0017	-0,062	-0,112	9,050	-0,025	-2,576	-16,493	-6,0000E-4	-0,061	-0,394	9,050	-3,189	-2,388	78,069	-0,0761	-0,057	1,864	9,050	0,955	6,346	2,513	0,0228	0,152	0,060	9,050	-0,306	-2,466	-2,356	-0,0073	-0,059	-0,056	9,050	-0,138	0,911	7,226	-0,0033	0,022	0,172
9,100	-0,066	-2,827	-3,456	-0,0016	-0,068	-0,082	9,100	-0,174	-3,377	-15,237	-0,0042	-0,081	-0,364	9,100	-3,209	1,524	76,969	-0,0766	0,036	1,837	9,100	1,275	6,267	-5,498	0,0304	0,150	-0,131	9,100	-0,434	-2,450	3,142	-0,0104	-0,059	0,075	9,100	-0,083	1,225	4,241	-0,0020	0,029	0,101
9,150	-0,212	-2,953	-1,571	-0,0051	-0,070	-0,038	9,150	-0,363	-4,100	-13,038	-0,0087	-0,098	-0,311	9,150	-3,036	5,309	73,513	-0,0725	0,127	1,755	9,150	1,582	5,796	-12,881	0,0378	0,138	-0,308	9,150	-0,551	-2,152	8,325	-0,0132	-0,051	0,199	9,150	-0,016	1,335	0,157	-3,7500E-4	0,032	0,004
9,200	-0,361	-2,985	0,471	-0,0086	-0,071	0,011	9,200	-0,584	-4,681	-10,367	-0,0140	-0,112	-0,248	9,200	-2,678	8,875	68,330	-0,0639	0,212	1,631	9,200	1,855	4,979	-19,635	0,0443	0,119	-0,469	9,200	-0,649	-1,618	12,881	-0,0155	-0,039	0,307	9,200	0,050	1,241	-4,084	0,0012	0,030	-0,098
9,250	-0,511	-2,906	2,356	-0,0122	-0,069	0,056	9,250	-0,831	-5,137	-7,697	-0,0198	-0,123	-0,184	9,250	-2,149	12,142	60,947	-0,0513	0,290	1,455	9,250	2,080	3,833	-25,761	0,0496	0,092	-0,615	9,250	-0,713	-0,864	15,394	-0,0170	-0,021	0,367	9,250	0,108	0,927	-8,325	0,0026	0,022	-0,199
9,300	-0,652	-2,749	3,927	-0,0156	-0,066	0,094	9,300	-1,098	-5,451	-4,555	-0,0262	-0,130	-0,109	9,300	-1,464	14,970	50,894	-0,0349	0,357	1,215	9,300	2,238	2,403	-30,159	0,0534	0,057	-0,720	9,300	-0,735	-0,079	14,765	-0,0176	-0,002	0,352	9,300	0,143	0,408	-10,839	0,0034	0,010	-0,259
9,350	-0,785	-2,513	5,655	-0,0188	-0,060	0,135	9,350	-1,376	-5,592	-1,100	-0,0329	-0,134	-0,026	9,350	-0,652	17,232	38,642	-0,0156	0,411	0,922	9,350	2,320	0,817	-31,730	0,0554	0,020	-0,758	9,350	-0,721	0,613	13,038	-0,0172	0,015	0,311	9,350	0,149	-0,157	-10,996	0,0036	-0,004	-0,262
9,400	-0,903	-2,183	6,912	-0,0216	-0,052	0,165	9,400	-1,657	-5,561	2,356	-0,0396	-0,133	0,056	9,400	0,259	18,834	24,190	0,0062	0,450	0,578	9,400	2,320	-0,770	-30,631	0,0554	-0,018	-0,731	9,400	-0,674	1,225	11,310	-0,0161	0,029	0,270	9,400	0,127	-0,691	-9,582	0,0030	-0,016	-0,229
9,450	-1,004	-1,822	8,011	-0,0240	-0,044	0,191	9,450	-1,932	-5,356	5,969	-0,0461	-0,128	0,142	9,450	1,232	19,651	8,482	0,0294	0,469	0,203	9,450	2,243	-2,246	-28,117	0,0535	-0,054	-0,671	9,450	-0,598	1,744	9,268	-0,0143	0,042	0,221	9,450	0,080	-1,115	-6,597	0,0019	-0,027	-0,158
9,500	-1,085	-1,382	9,582	-0,0259	-0,033	0,229	9,500	-2,193	-4,964	9,739	-0,0524	-0,119	0,233	9,500	2,224	19,682	-7,226	0,0531	0,470	-0,173	9,500	2,095	-3,581	-24,976	0,0500	-0,086	-0,596	9,500	-0,500	2,152	6,283	-0,0119	0,051	0,150	9,500	0,016	-1,351	-2,670	3,7500E-4	-0,032	-0,064
9,550	-1,142	-0,864	10,367	-0,0273	-0,021	0,247	9,550	-2,428	-4,383	13,352	-0,0580	-0,105	0,319	9,550	3,200	18,928	-22,934	0,0764	0,452	-0,548	9,550	1,885	-4,744	-20,577	0,0450	-0,113	-0,491	9,550	-0,383	2,372	1,728	-0,0092	0,057	0,041	9,550	-0,055	-1,382	1,885	-0,0013	-0,033	0,045
9,600	-1,172	-0,346	9,582	-0,0280	-0,008	0,229	9,600	-2,631	-3,629	16,493	-0,0628	-0,087	0,394	9,600	4,117	17,389	-38,170	0,0983	0,415	-0,911	9,600	1,621	-5,639	-14,451	0,0387	-0,135	-0,345	9,600	-0,262	2,325	-3,456	-0,0063	0,056	-0,082	9,600	-0,123	-1,162	7,069	-0,0029	-0,028	0,169
9,650	-1,177	0,094	7,226	-0,0281	0,002	0,173	9,650	-2,791	-2,733	19,164	-0,0666	-0,065	0,458	9,650	4,939	15,111	-52,150	0,1179	0,361	-1,245	9,650	1,321	-6,189	-7,226	0,0315	-0,148	-0,173	9,650	-0,151	2,026	-8,011	-0,0036	0,048	-0,191	9,650	-0,171	-0,675	10,524	-0,0041	-0,016	0,251
9,700	-1,162	0,377	4,869	-0,0278	0,009	0,116	9,700	-2,904	-1,712	21,206	-0,0693	-0,041	0,506	9,700	5,628	12,174	-63,774	0,1344	0,291	-1,523	9,700	1,002	-6,362	0,471	0,0239	-0,152	0,011	9,700	-0,060	1,524	-11,938	-0,0014	0,036	-0,285	9,700	-0,190	-0,110	10,681	-0,0045	-0,003	0,255
9,750	-1,139	0,581	4,398	-0,0272	0,014	0,105	9,750	-2,963	-0,613	21,363	-0,0707	-0,015	0,510	9,750	6,156	8,734	-72,728	0,1470	0,209	-1,736	9,750	0,685	-6,142	8,325	0,0163	-0,147	0,199	9,750	0,002	0,833	-14,765	3,7500E-5	0,020	-0,352	9,750	-0,182	0,393	9,425	-0,0043	0,009	0,225
9,800	-1,104	0,817	5,027	-0,0264	0,019	0,120	9,800	-2,966	0,424	19,635	-0,0708	0,010	0,469	9,800	6,502	4,901	-78,697	0,1552	0,117	-1,879	9,800	0,388	-5,529	15,708	0,0093	-0,132	0,375	9,800	0,024	0,047	-15,237	5,6250E-4	0,001	-0,364	9,800	-0,151	0,833	7,697	-0,0036	0,020	0,184
9,850	-1,057	1,084	5,341	-0,0252	0,026	0,128	9,850	-2,920	1,351	18,064	-0,0697	0,032	0,431	9,850	6,646	0,864	-80,582	0,1587	0,021	-1,924	9,850	0,132	-4,571	22,462	0,0031	-0,109	0,536	9,850	0,006	-0,691	-14,137	1,5000E-4	-0,017	-0,337	9,850	-0,099	1,162	4,869	-0,0024	0,028	0,116
9,900	-0,996	1,351	5,341	-0,0238	0,032	0,127	9,900	-2,831	2,231	17,279	-0,0676	0,053	0,413	9,900	6,588	-3,157	-78,854	0,1573	-0,075	-1,883	9,900	-0,069	-3,283	28,117	-0,0017	-0,078	0,671	9,900	-0,046	-1,367	-12,409	-0,0011	-0,033	-0,296	9,900	-0,035	1,319	1,100	-8,2500E-4	0,032	0,026
9,950	-0,922	1,618	5,341	-0,0220	0,039	0,128	9,950	-2,697	3,079	16,179	-0,0644	0,074	0,386	9,950	6,330	-7,021	-74,299	0,1511	-0,168	-1,774	9,950	-0,196	-1,759	30,945	-0,0047	-0,042	0,739	9,950	-0,130	-1,932	-9,425	-0,0031	-0,046	-0,225	9,950	0,033	1,272	-3,142	7,8750E-4	0,030	-0,075
10,000	-0,834	1,885	4,869	-0,0199	0,045	0,116	10,000	-2,523	3,848	14,137	-0,0602	0,092	0,337	10,000	5,886	-10,587	-66,916	0,1405	-0,253	-1,597	10,000	-0,245	-0,188	31,102	-0,0059	-0,005	0,742	10,000	-0,239	-2,309	-5,341	-0,0057	-0,055	-0,127	10,000	0,093	1,005	-7,383	0,0022	0,024	-0,176
10,050	-0,734	2,105	4,084	-0,0175	0,050	0,097	10,050	-2,312	4,492	11,624	-0,0552	0,107	0,277	10,050	5,272	-13,713	-57,020	0,1259	-0,327	-1,361	10,050	-0,215	1,351	29,845	-0,0051	0,032	0,712	10,050	-0,361	-2,466	-0,471	-0,0086	-0,059	-0,011	10,050	0,134	0,534	-10,367	0,0032	0,013	-0,247
10,100	-0,624	2,293	3,613	-0,0149	0,055	0,086	10,100	-2,073	5,011	8,954	-0,0495	0,120	0,214	10,100	4,514	-16,289	-45,082	0,1078	-0,389	-1,076	10,100	-0,110	2,796	27,332	-0,0026	0,067	0,652	10,100	-0,485	-2,356	5,027	-0,0116	-0,056	0,120	10,100	0,146	-0,031	-10,996	0,0035	-7,500E-4	-0,262
10,150	-0,504	2,466	2,827	-0,0120	0,059	0,067	10,150	-1,811	5,388	5,812	-0,0432	0,129	0,139	10,150	3,643	-18,221	-31,259	0,0870	-0,435	-0,746	10,150	0,064	4,084	23,405	0,0015	0,098	0,559	10,150	-0,597	-1,963	10,210	-0,0143	-0,047	0,244	10,150	0,130	-0,565	-9,896	0,0031	-0,014	-0,236
10,200	-0,377	2,576	1,728	-0,0090	0,061	0,041	10,200	-1,535	5,592	2,356	-0,0366	0,134	0,056	10,200	2,692	-19,415	-16,179	0,0643	-0,464	-0,386	10,200	0,298	5,137	18,064	0,0071	0,123	0,431	10,200	-0,682	-1,335	13,980	-0,0163	-0,032	0,334	10,200	0,090	-1,021	-7,540	0,0021	-0,024	-0,180
10,250	-0,247	2,639	0,785	-0,0059	0,063	0,019	10,250	-1,252	5,623	-1,257	-0,0299	0,134	-0,030	10,250	1,701	-19,839	-0,628	0,0406	-0,474	-0,015	10,250	0,578	5,890	11,624	0,0138	0,141	0,277	10,250	-0,730	-0,565	15,394	-0,0174	-0,014	0,368	10,250	0,028	-1,319	-3,613	6,7500E-4	-0,032	-0,086
10,300	-0,113	2,655	-0,628	-0,0027	0,063	-0,015	10,300	-0,972	5,466	-5,027	-0,0232	0,130	-0,120	10,300	0,708	-19,478	15,080	0,0169	-0,465	0,360	10,300	0,888	6,299	4,398	0,0212	0,150	0,105	10,300	-0,738	0,204	14,451	-0,0176	0,005	0,345	10,300	-0,042	-1,382	1,100	-0,0010	-0,033	0,026
10,350	0,019	2,576	-2,199	4,5000E-4	0,062	-0,052	10,350	-0,705	5,121	-8,639	-0,0168	0,122	-0,206	10,350	-0,247	-18,331	30,159	-0,0059	-0,438	0,720	10,350	1,208	6,330	-3,456	0,0288	0,151	-0,082	10,350	-0,710	0,880	12,566	-0,0170	0,021	0,300	10,350	-0,110	-1,210	5,969	-0,0026	-0,029	0,142
10,400	0,145	2,435	-3,456	0,0035	0,058	-0,083	10,400	-0,460	4,602	-11,938	-0,0110	0,110	-0,285	10,400	-1,125	-16,462	44,296	-0,0268	-0,393	1,058	10,400	1,521	5,953	-11,310	0,0363	0,142	-0,270	10,400	-0,650	1,461	10,681	-0,0155	0,035	0,255	10,400	-0,163	-0,785	9,896	-0,0039	-0,019	0,236
10,450	0,262	2,231	-4,712	0,0063	0,053	-0,113	10,450	-0,245	3,927	-15,080	-0,0058	0,094	-0,360	10,450	-1,893	-13,902	57,491	-0,0452	-0,332	1,373	10,450	1,803	5,199	-18,378	0,0430	0,124	-0,439	10,450	-0,564	1,948	8,168	-0,0135	0,047	0,195	10,450	-0,188	-0,220	10,996	-0,0045	-0,005	0,263
10,500	0,368	1,963	-6,126	0,0088	0,047	-0,146	10,500	-0,068	3,094	-17,750	-0,0016	0,074	-0,424	10,500	-2,515	-10,713	68,330	-0,0600	-0,256	1,631	10,500	2,040	4,115	-24,662	0,0487	0,098	-0,589	10,500	-0,456	2,278	4,398	-0,0109	0,054	0,105	10,500	-0,185	0,314	9,896	-0,0044	0,008	0,236
10,550	0,459	1,618	-7,697	0,0109	0,039	-0,184	10,550	0,064	2,152	-19,635	0,0015	0,051	-0,469	10,550	-2,964	-7,069	75,398	-0,0708	-0,169	1,800	10,550	2,215	2,733	-29,531	0,0529	0,065	-0,705	10,550	-0,336	2,388	-0,157	-0,0080	0,057	-0,004	10,550	-0,157	0,770	8,011	-0,0037	0,018	0,191
10,600	0,529	1,194	-8,796	0,0126	0,029	-0,210	10,600	0,148	1,131	-20,577	0,0035	0,027	-0,491	10,600	-3,222	-3,173	78,697	-0,0769	-0,076	1,879	10,600	2,314	1,162	-31,573	0,0552	0,028	-0,754	10,600	-0,217	2,262	-5,027	-0,0052	0,054	-0,120	10,600	-0,108	1,115	5,341	-0,0026	0,027	0,127
10,650	0,578	0,738	-9,425	0,0138	0,018	-0,225	10,650	0,178	0,094	-19,949	0,0042	0,002	-0,476	10,650	-3,281	0,801	78,540	-0,0783	0,019	1,875	10,650	2,331	-0,424	-30,945	0,0556	-0,010	-0,739	10,650	-0,110	1,885	-9,739	-0,0026	0,045	-0,233	10,650	-0,046	1,304	1,885	-0,0011	0,031	0,045
10,700	0,603	0,251	-9,425	0,0144	0,006	-0,225	10,700	0,157	-0,864	-18,535	0,0038	-0,021	-0,443	10,700	-3,142	4,681	75,555	-0,0750	0,112	1,804	10,700	2,271	-1,932	-29,060	0,0542	-0,046	-0,694	10,700	-0,028	1,288	-13,352	-6,7500E-4	0,031	-0,319	10,700	0,022	1,304	-2,199	5,2500E-4	0,031	-0,053
10,750	0,603	-0,204	-8,325	0,0144	-0,005	-0,199	10,750	0,091	-1,759	-17,436	0,0022	-0,042	-0,416	10,750	-2,813	8,357	70,686	-0,0672	0,200	1,687	10,750	2,138	-3,330	-25,918	0,0510	-0,080	-0,619	10,750	0,019	0,550	-15,080	4,5000E-4	0,013	-0,360	10,750	0,085	1,084	-6,597	0,0020	0,026	-0,158
10,800	0,583	-0,581	-7,383	0,0139	-0,014	-0,176	10,800	-0,019	-2,608	-16,493	-4,5000E-4	-0,062	-0,394	10,800	-2,306	11,750	63,303	-0,0550	0,280	1,511	10,800	1,938	-4,524	-21,520	0,0463	-0,108	-0,514	10,800	0,027	-0,220	-15,080	6,3750E-4	-0,005	-0,360	10,800	0,130	0,644	-10,053	0,0031	0,015	-0,240
10,850	0,545	-0,942	-7,383	0,0130	-0,023	-0,176	10,850	-0,170	-3,409	-15,394	-0,0040	-0,081	-0,368	10,850	-1,638	14,687	53,407	-0,0391	0,351	1,275	10,850	1,685	-5,482	-16,022	0,0402	-0,131	-0,382	10,850	-0,003	-0,958	-13,666	-7,5000E-5	-0,023	-0,326	10,850	0,149	0,079	-11,310	0,0036	0,002	-0,270
10,900	0,489	-1,319	-7,226	0,0117	-0,032	-0,172	10,900	-0,360	-4,147	-13,352	-0,0086	-0,099	-0,319	10,900	-0,837	17,090	41,626	-0,0200	0,408	0,994	10,900	1,390	-6,126	-8,954	0,0332	-0,146	-0,214	10,900	-0,069	-1,587	-11,310	-0,0017	-0,038	-0,270	10,900	0,138	-0,487	-10,367	0,0033	-0,012	-0,248
10,950	0,413	-1,665	-6,912	0,0099	-0,040	-0,165	10,950	-0,584	-4,744	-10,524	-0,0139	-0,113	-0,251	10,950	0,071	18,850	27,332	0,0017	0,450	0,653	10,950	1,073	-6,377	-1,257	0,0256	-0,152	-0,030	10,950	-0,162	-2,089	-8,168	-0,0039	-0,050	-0,195	10,950	0,101	-0,958	-7,854	0,0024	-0,023	-0,188
11,000	0,322	-2,011	-6,597	0,0077	-0,048	-0,158	11,000	-0,834	-5,199	-7,854	-0,0199	-0,124	-0,188	11,000	1,048	19,823	11,781	0,0250	0,473	0,281	11,000	0,752	-6,252	6,440	0,0180	-0,149	0,154	11,000	-0,278	-2,403	-3,613	-0,0066	-0,057	-0,086	11,000	0,042	-1,272	-4,241	0,0010	-0,030	-0,101
11,050	0,212	-2,325	-5,655	0,0051	-0,056	-0,135	11,050	-1,104	-5,529	-4,712	-0,0264	-0,132	-0,112	11,050	2,053	20,028	-4,241	0,0490	0,478	-0,101	11,050	0,448	-5,733	14,137	0,0107	-0,137	0,337	11,050	-0,402	-2,450	1,571	-0,0096	-0,058	0,038	11,050	-0,027	-1,382	4,441E-15	-6,3750E-4	-0,033	0,000
11,100	0,090	-2,576	-4,712	0,0021	-0,062	-0,112	11,100	-1,387	-5,671	-0,785	-0,0331	-0,135	-0,019	11,100	3,050	19,399	-20,735	0,0728	0,463	-0,495	11,100	0,179	-4,838	21,206	0,0043	-0,116	0,506	11,100	-0,523	-2,246	6,912	-0,0125	-0,054	0,165	11,100	-0,096	-1,272	4,869	-0,0023	-0,030	0,116
11,150	-0,046	-2,796	-3,613	-0,0011	-0,067	-0,086	11,150	-1,671	-5,608	2,827	-0,0399	-0,134	0,068	11,150	3,993	17,954	-36,285	0,0953	0,429	-0,866	11,150	-0,036	-3,613	26,861	-8,6250E-4	-0,086	0,641	11,150	-0,627	-1,759	11,938	-0,0150	-0,042	0,285	11,150	-0,154	-0,895	9,425	-0,0037	-0,021	0,225
11,200	-0,190	-2,937	-1,728	-0,0045	-0,070	-0,041	11,200	-1,948	-5,388	6,283	-0,0465	-0,129	0,150	11,200	4,846	15,771	-50,423	0,1157	0,376	-1,204	11,200	-0,182	-2,152	30,473	-0,0044	-0,051	0,728	11,200	-0,699	-1,052	14,923	-0,0167	-0,025	0,356	11,200	-0,185	-0,330	11,153	-0,0044	-0,008	0,266
11,250	-0,339	-2,969	0,157	-0,0081	-0,071	0,004	11,250	-2,210	-4,979	10,210	-0,0528	-0,119	0,244	11,250	5,570	12,912	-62,518	0,1330	0,308	-1,492	11,250	-0,251	-0,565	31,573	-0,0060	-0,014	0,754	11,250	-0,732	-0,267	15,080	-0,0175	-0,006	0,360	11,250	-0,187	0,220	10,210	-0,0045	0,005	0,244
11,300	-0,487	-2,922	1,571	-0,0116	-0,070	0,037	11,300	-2,446	-4,367	13,823	-0,0584	-0,104	0,330	11,300	6,137	9,519	-72,414	0,1465	0,227	-1,729	11,300	-0,239	1,005	30,316	-0,0057	0,024	0,724	11,300	-0,726	0,456	13,509	-0,0173	0,011	0,322	11,300	-0,163	0,691	8,325	-0,0039	0,016	0,199
11,350	-0,631	-2,812	3,299	-0,0151	-0,067	0,079	11,350	-2,647	-3,597	16,808	-0,0632	-0,086	0,401	11,350	6,522	5,671	-79,325	0,1557	0,135	-1,894	11,350	-0,151	2,466	28,117	-0,0036	0,059	0,671	11,350	-0,686	1,084	11,781	-0,0164	0,026	0,281	11,350	-0,118	1,052	5,812	-0,0028	0,025	0,139
11,400	-0,768	-2,592	5,184	-0,0183	-0,062	0,124	11,400	-2,805	-2,686	19,321	-0,0670	-0,064	0,461	11,400	6,704	1,587	-81,996	0,1601	0,038	-1,958	11,400	0,008	3,817	24,819	1,8750E-4	0,091	0,593	11,400	-0,617	1,634	9,739	-0,0147	0,039	0,233	11,400	-0,058	1,272	2,513	-0,0014	0,030	0,060
11,450	-0,891	-2,293	6,597	-0,0213	-0,055	0,158	11,450	-2,915	-1,665	20,892	-0,0696	-0,040	0,499	11,450	6,681	-2,529	-81,053	0,1595	-0,060	-1,935	11,450	0,231	4,948	19,635	0,0055	0,118	0,469	11,450	-0,523	2,058	6,597	-0,0125	0,049	0,158	11,450	0,009	1,304	-1,414	2,2500E-4	0,031	-0,034
11,500	-0,997	-1,932	8,011	-0,0238	-0,046	0,191	11,500	-2,972	-0,597	21,049	-0,0709	-0,014	0,502	11,500	6,451	-6,519	-76,812	0,1540	-0,156	-1,834	11,500	0,503	5,781	13,352	0,0120	0,138	0,319	11,500	-0,412	2,293	2,513	-0,0098	0,055	0,060	11,500	0,072	1,131	-5,812	0,0017	0,027	-0,139
11,550	-1,084	-1,492	9,425	-0,0259	-0,036	0,225	11,550	-2,975	0,440	19,949	-0,0710	0,010	0,476	11,550	6,029	-10,210	-69,586	0,1439	-0,244	-1,661	11,550	0,809	6,283	5,969	0,0193	0,150	0,142	11,550	-0,294	2,309	-2,199	-0,0070	0,055	-0,053	11,550	0,123	0,723	-9,582	0,0029	0,017	-0,229
11,600	-1,147	-0,990	10,367	-0,0274	-0,024	0,247	11,600	-2,928	1,398	18,378	-0,0699	0,033	0,439	11,600	5,430	-13,477	-59,847	0,1296	-0,322	-1,429	11,600	1,131	6,377	-1,885	0,0270	0,152	-0,045	11,600	-0,181	2,073	-6,912	-0,0043	0,049	-0,165	11,600	0,145	0,173	-10,996	0,0035	0,004	-0,262
11,650	-1,183	-0,456	9,896	-0,0282	-0,011	0,236	11,650	-2,835	2,278	17,122	-0,0677	0,054	0,409	11,650	4,681	-16,195	-47,909	0,1118	-0,387	-1,144	11,650	1,447	6,095	-9,268	0,0345	0,146	-0,221	11,650	-0,086	1,618	-10,996	-0,0021	0,039	-0,262	11,650	0,140	-0,377	-10,524	0,0033	-0,009	-0,251
11,700	-1,192	0,000	7,854	-0,0285	0,000	0,188	11,700	-2,700	3,110	16,022	-0,0645	0,074	0,383	11,700	3,811	-18,268	-34,243	0,0910	-0,436	-0,818	11,700	1,740	5,451	-16,493	0,0415	0,130	-0,394	11,700	-0,019	0,974	-14,137	-4,5000E-4	0,023	-0,338	11,700	0,107	-0,880	-8,482	0,0026	-0,021	-0,203
11,750	-1,183	0,330	5,812	-0,0282	0,008	0,139	11,750	-2,524	3,880	14,451	-0,0603	0,093	0,345	11,750	2,854	-19,619	-19,007	0,0681	-0,468	-0,454	11,750	1,992	4,445	-23,405	0,0475	0,106	-0,559	11,750	0,011	0,204	-15,080	2,6250E-4	0,005	-0,360	11,750	0,052	-1,225	-5,027	0,0012	-0,029	-0,120
11,800	-1,159	0,581	4,869	-0,0277	0,014	0,116	11,800	-2,312	4,555	11,938	-0,0552	0,109	0,285	11,800	1,849	-20,169	-2,985	0,0441	-0,481	-0,071	11,800	2,185	3,110	-28,903	0,0522	0,074	-0,690	11,800	0,002	-0,534	-13,980	3,7500E-5	-0,013	-0,334	11,800	-0,016	-1,382	-0,628	-3,7500E-4	-0,033	-0,015
11,850	-1,125	0,817	5,027	-0,0269	0,020	0,120	11,850	-2,069	5,074	8,796	-0,0494	0,121	0,210	11,850	0,837	-19,918	13,038	0,0200	-0,476	0,311	11,850	2,303	1,555	-31,573	0,0550	0,037	-0,754	11,850	-0,042	-1,194	-12,252	-0,0010	-0,028	-0,292	11,850	-0,086	-1,288	4,398	-0,0021	-0,031	0,105
11,900	-1,078	1,084	5,655	-0,0257	0,026	0,135	11,900	-1,805	5,435	5,655	-0,0431	0,130	0,135	11,900	-0,143	-18,865	28,589	-0,0034	-0,450	0,683	11,900	2,340	-0,047	-31,416	0,0559	-0,001	-0,750	11,900	-0,118	-1,759	-9,739	-0,0028	-0,042	-0,233	11,900	-0,145	-0,942	8,482	-0,0034	-0,023	0,203
11,950	-1,016	1,382	5,812	-0,0243	0,033	0,139	11,950	-1,525	5,639	2,199	-0,0364	0,135	0,053	11,950	-1,049	-17,059	43,197	-0,0250	-0,407	1,031	11,950	2,298	-1,587	-29,688	0,0549	-0,038	-0,709	11,950	-0,218	-2,168	-6,126	-0,0052	-0,052	-0,146	11,950	-0,181	-0,440	10,681	-0,0043	-0,011	0,255
