4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 6,84V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 8V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 9V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 11V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 14V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s) 18V	Beschleunigung (m/s²)
1,600	-1,090	1,257	5,812	-0,0260	0,030	0,139	1,600	-0,807	5,278	-7,069	-0,0193	0,126	-0,169	1,600	-0,057	18,473	29,374	-0,0013	0,441	0,701	1,600	1,682	5,639	-15,394	0,0402	0,135	-0,367	1,600	-0,589	1,744	9,111	-0,0141	0,042	0,217	1,600	0,042	1,241	-4,084	0,0010	0,030	-0,097
1,650	-1,021	1,555	5,969	-0,0244	0,037	0,143	1,650	-0,551	4,838	-10,681	-0,0132	0,115	-0,255	1,650	0,905	19,588	14,608	0,0216	0,468	0,349	1,650	1,945	4,681	-22,148	0,0464	0,112	-0,529	1,650	-0,490	2,136	5,812	-0,0117	0,051	0,139	1,650	0,099	0,927	-8,011	0,0024	0,022	-0,191
1,700	-0,935	1,854	5,498	-0,0223	0,044	0,131	1,700	-0,324	4,210	-13,980	-0,0077	0,101	-0,334	1,700	1,902	19,933	-1,414	0,0454	0,476	-0,034	1,700	2,150	3,424	-27,646	0,0513	0,082	-0,660	1,700	-0,375	2,325	1,257	-0,0090	0,056	0,030	1,700	0,135	0,440	-10,524	0,0032	0,011	-0,251
1,750	-0,836	2,105	4,869	-0,0200	0,050	0,116	1,750	-0,130	3,440	-16,808	-0,0031	0,082	-0,401	1,750	2,898	19,446	-17,907	0,0692	0,464	-0,428	1,750	2,287	1,916	-31,259	0,0546	0,046	-0,746	1,750	-0,258	2,262	-3,613	-0,0061	0,054	-0,086	1,750	0,143	-0,126	-10,839	0,0034	-0,003	-0,259
1,800	-0,724	2,340	4,084	-0,0173	0,056	0,097	1,800	0,020	2,529	-19,007	4,8750E-4	0,060	-0,454	1,800	3,847	18,143	-33,301	0,0918	0,433	-0,795	1,800	2,342	0,298	-31,887	0,0559	0,007	-0,761	1,800	-0,149	1,963	-8,011	-0,0036	0,047	-0,191	1,800	0,123	-0,644	-9,425	0,0029	-0,015	-0,225
1,850	-0,602	2,513	2,985	-0,0144	0,060	0,071	1,850	0,123	1,539	-20,263	0,0029	0,037	-0,484	1,850	4,712	16,116	-47,752	0,1125	0,385	-1,140	1,850	2,317	-1,272	-30,316	0,0553	-0,030	-0,724	1,850	-0,061	1,461	-11,938	-0,0015	0,035	-0,285	1,850	0,079	-1,068	-6,754	0,0019	-0,025	-0,161
1,900	-0,473	2,639	2,042	-0,0113	0,063	0,049	1,900	0,174	0,503	-20,420	0,0042	0,012	-0,487	1,900	5,459	13,367	-61,104	0,1303	0,319	-1,459	1,900	2,215	-2,733	-27,489	0,0529	-0,065	-0,656	1,900	-0,003	0,770	-14,608	-7,5000E-5	0,018	-0,349	1,900	0,016	-1,319	-2,670	3,7500E-4	-0,031	-0,064
1,950	-0,338	2,717	1,100	-0,0081	0,065	0,026	1,950	0,173	-0,503	-19,164	0,0041	-0,012	-0,458	1,950	6,049	10,006	-71,471	0,1444	0,239	-1,706	1,950	2,044	-4,021	-23,719	0,0488	-0,096	-0,566	1,950	0,016	0,000	-14,923	3,7500E-4	0,000	-0,356	1,950	-0,053	-1,335	2,042	-0,0013	-0,032	0,049
2,000	-0,201	2,749	-6,217E-14	-0,0048	0,066	-1,388E-15	2,000	0,124	-1,414	-17,750	0,0030	-0,034	-0,424	2,000	6,459	6,220	-78,697	0,1542	0,149	-1,879	2,000	1,813	-5,105	-18,850	0,0433	-0,122	-0,450	2,000	-0,003	-0,723	-13,666	-7,5000E-5	-0,017	-0,326	2,000	-0,118	-1,115	6,754	-0,0028	-0,027	0,161
2,050	-0,063	2,717	-1,571	-0,0015	0,065	-0,037	2,050	0,031	-2,278	-17,122	7,5000E-4	-0,054	-0,409	2,050	6,671	2,136	-82,310	0,1593	0,051	-1,965	2,050	1,533	-5,906	-12,409	0,0366	-0,141	-0,296	2,050	-0,057	-1,367	-11,781	-0,0013	-0,033	-0,281	2,050	-0,165	-0,660	10,053	-0,0039	-0,016	0,240
