	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
	14,100	124,74	99,77	24,96	0,328	-6,448	55,253	0,0078	-0,154	1,319	-19,1
	14,200	180,60	99,78	80,82	0,704	8,404	26,075	0,0168	0,201	0,622	-19,0
	14,300	106,21	99,77	6,43	2,009	-1,233	-78,304	0,0480	-0,029	-1,869	-19,0
	14,400	110,12	99,77	10,35	0,457	-7,257	44,846	0,0109	-0,173	1,071	-18,9
	14,500	180,61	99,77	80,84	0,558	7,736	37,503	0,0133	0,185	0,895	-18,8
	14,600	120,91	99,77	21,14	2,004	0,243	-78,265	0,0479	0,006	-1,868	-18,7
	14,700	112,59	99,77	12,81	0,606	-7,917	33,183	0,0145	-0,189	0,792	-18,7
	14,800	175,58	99,78	75,80	0,421	6,880	48,066	0,0101	0,164	1,148	-18,6
	14,900	117,41	99,77	17,64	1,982	1,696	-76,380	0,0473	0,041	-1,823	-18,5
	15,000	102,63	99,76	2,86	0,760	-8,396	21,088	0,0182	-0,200	0,503	-18,4
	15,100	177,65	99,77	77,87	0,303	5,914	57,727	0,0072	0,141	1,378	-18,4
	15,200	137,03	99,77	37,26	1,943	3,149	-73,238	0,0464	0,075	-1,748	-18,3
	15,300	104,02	99,77	4,25	0,933	-8,734	8,129	0,0223	-0,209	0,194	-18,2
	15,400	163,24	99,77	63,47	0,196	4,775	66,131	0,0047	0,114	1,579	-18,1
	15,500	132,81	99,77	33,04	1,888	4,492	-68,251	0,0451	0,107	-1,629	-18,1
	15,600	98,72	99,77	-1,05	1,095	-8,875	-4,555	0,0261	-0,212	-0,109	-18,0
	15,700	166,84	99,77	67,06	0,113	3,581	73,003	0,0027	0,086	1,743	-17,9
	15,800	154,18	99,77	54,40	1,811	5,726	-61,968	0,0432	0,137	-1,479	-17,9
	15,900	99,30	99,77	-0,47	1,258	-8,812	-17,200	0,0300	-0,210	-0,411	-17,8
	16,000	170,00	99,78	70,22	0,049	2,286	78,265	0,0012	0,055	1,868	-17,7
	16,100	150,18	99,77	50,41	1,715	6,841	-54,075	0,0410	0,163	-1,291	-17,6
	16,200	100,11	99,77	0,34	1,417	-8,529	-29,492	0,0338	-0,204	-0,704	-17,6
	16,300	151,53	99,78	51,76	0,009	0,942	81,407	2,2500E-4	0,022	1,943	-17,5
	16,400	145,95	99,77	46,18	1,605	7,752	-44,886	0,0383	0,185	-1,072	-17,4
	16,500	98,41	99,77	-1,37	1,560	-8,035	-40,801	0,0372	-0,192	-0,974	-17,3
	16,600	155,36	99,77	55,59	-0,002	-0,408	82,545	-3,7500E-5	-0,010	1,971	-17,3
	16,700	166,73	99,78	66,95	1,478	8,474	-34,636	0,0353	0,202	-0,827	-17,2
	16,800	98,32	99,77	-1,45	1,693	-7,336	-51,169	0,0404	-0,175	-1,222	-17,1
	16,900	135,28	99,77	35,51	0,011	-1,759	81,367	2,6250E-4	-0,042	1,942	-17,0
	17,000	163,30	99,78	63,52	1,341	8,938	-23,483	0,0320	0,213	-0,561	-17,0
	17,100	101,72	99,77	1,95	1,799	-6,456	-59,808	0,0429	-0,154	-1,428	-16,9
	17,200	139,02	99,77	39,25	0,050	-3,024	78,108	0,0012	-0,072	1,865	-16,8
	17,300	178,13	99,78	78,35	1,194	9,166	-11,899	0,0285	0,219	-0,284	-16,7
	17,400	100,56	99,77	0,79	1,883	-5,404	-66,955	0,0450	-0,129	-1,598	-16,7
	17,500	120,73	99,77	20,96	0,113	-4,225	72,924	0,0027	-0,101	1,741	-16,6
	17,600	176,40	99,77	76,63	1,038	9,181	0,236	0,0248	0,219	0,006	-16,5
	17,700	109,82	99,77	10,05	1,949	-4,178	-72,649	0,0465	-0,100	-1,734	-16,4
	17,800	123,80	99,77	24,02	0,203	-5,349	65,581	0,0048	-0,128	1,566	-16,4
	17,900	181,37	99,78	81,60	0,880	8,938	12,488	0,0210	0,213	0,298	-16,3
	18,000	107,46	99,77	7,69	1,990	-2,851	-76,223	0,0475	-0,068	-1,820	-16,2
	18,100	127,30	99,77	27,52	0,309	-6,307	56,706	0,0074	-0,151	1,354	-16,2
	18,200	181,52	99,77	81,75	0,729	8,490	24,347	0,0174	0,203	0,581	-16,1
	18,300	105,43	99,77	5,67	2,007	-1,437	-78,147	0,0479	-0,034	-1,866	-16,0
	18,400	111,93	99,77	12,16	0,441	-7,139	46,260	0,0105	-0,170	1,104	-15,9
	18,500	181,19	99,78	81,41	0,580	7,815	35,932	0,0138	0,187	0,858	-15,9
	18,600	119,51	99,77	19,74	2,004	0,047	-78,186	0,0479	0,001	-1,867	-15,8
	18,700	114,49	99,77	14,72	0,589	-7,823	34,675	0,0141	-0,187	0,828	-15,7
	18,800	177,68	99,78	77,91	0,440	6,982	46,770	0,0105	0,167	1,117	-15,6
	18,900	116,33	99,77	16,56	1,985	1,532	-76,694	0,0474	0,037	-1,831	-15,6
	19,000	103,62	99,77	3,85	0,746	-8,357	22,384	0,0178	-0,200	0,534	-15,5
	19,100	179,44	99,78	79,66	0,314	6,008	56,784	0,0075	0,143	1,356	-15,4
	19,200	135,51	99,77	35,74	1,948	3,000	-73,592	0,0465	0,072	-1,757	-15,4
	19,300	105,18	99,77	5,41	0,914	-8,710	9,425	0,0218	-0,208	0,225	-15,3
	19,400	165,57	99,78	65,80	0,206	4,885	65,502	0,0049	0,117	1,564	-15,2
	19,500	131,63	99,77	31,87	1,891	4,390	-68,722	0,0452	0,105	-1,641	-15,1
	19,600	99,23	99,77	-0,54	1,084	-8,859	-3,691	0,0259	-0,211	-0,088	-15,1
	19,700	169,06	99,78	69,28	0,119	3,652	72,649	0,0029	0,087	1,734	-15,0
	19,800	153,33	99,77	53,55	1,814	5,671	-62,282	0,0433	0,135	-1,487	-14,9
	19,900	99,94	99,77	0,17	1,253	-8,804	-16,533	0,0299	-0,210	-0,395	-14,8
	20,000	150,14	99,77	50,37	0,053	2,364	77,912	0,0013	0,056	1,860	-14,8
	20,100	149,01	99,77	49,24	1,726	6,778	-54,664	0,0412	0,162	-1,305	-14,7
	20,200	100,82	99,77	1,05	1,409	-8,569	-28,746	0,0336	-0,205	-0,686	-14,6
	20,300	154,00	99,78	54,23	0,013	1,029	81,367	3,0000E-4	0,025	1,943	-14,6
	20,400	144,79	99,77	45,02	1,615	7,705	-45,553	0,0386	0,184	-1,088	-14,5
	20,500	98,61	99,77	-1,16	1,554	-8,082	-40,134	0,0371	-0,193	-0,958	-14,4
	20,600	157,75	99,78	57,97	-0,002	-0,322	82,428	-3,7500E-5	-0,008	1,968	-14,3
	20,700	165,73	99,78	65,96	1,489	8,404	-35,382	0,0356	0,201	-0,845	-14,3
	20,800	98,58	99,77	-1,19	1,679	-7,398	-50,226	0,0401	-0,177	-1,199	-14,2
	20,900	137,41	99,77	37,63	0,009	-1,641	81,564	2,2500E-4	-0,039	1,947	-14,1
	21,000	162,40	99,77	62,63	1,351	8,914	-24,426	0,0323	0,213	-0,583	-14,1
	21,100	101,37	99,77	1,61	1,792	-6,527	-59,258	0,0428	-0,156	-1,415	-14,0
	21,200	141,17	99,78	41,40	0,046	-2,937	78,501	0,0011	-0,070	1,874	-13,9
	21,300	178,19	99,78	78,42	1,205	9,173	-12,723	0,0288	0,219	-0,304	-13,8
	21,400	100,38	99,77	0,61	1,880	-5,482	-66,484	0,0449	-0,131	-1,587	-13,8
	21,500	122,66	99,77	22,89	0,108	-4,123	73,317	0,0026	-0,098	1,750	-13,7
	21,600	176,07	99,77	76,29	1,056	9,181	-0,942	0,0252	0,219	-0,023	-13,6
	21,700	108,94	99,77	9,17	1,945	-4,312	-72,021	0,0464	-0,103	-1,719	-13,6
	21,800	125,97	99,77	26,20	0,193	-5,223	66,405	0,0046	-0,125	1,585	-13,5
	21,900	182,32	99,78	82,54	0,900	8,969	11,153	0,0215	0,214	0,266	-13,4
	22,000	106,77	99,77	7,00	1,987	-2,992	-76,027	0,0474	-0,071	-1,815	-13,3
	22,100	110,91	99,77	11,14	0,302	-6,236	57,648	0,0072	-0,149	1,376	-13,3
	22,200	182,21	99,77	82,44	0,740	8,537	23,444	0,0177	0,204	0,560	-13,2
	22,300	104,83	99,77	5,06	2,009	-1,547	-78,186	0,0480	-0,037	-1,867	-13,1
	22,400	113,35	99,77	13,57	0,430	-7,100	47,124	0,0103	-0,170	1,125	-13,1
	22,500	181,71	99,77	81,94	0,589	7,878	35,225	0,0141	0,188	0,841	-13,0
	22,600	118,44	99,77	18,67	2,006	-0,055	-78,383	0,0479	-0,001	-1,871	-12,9
	22,700	115,93	99,77	16,16	0,578	-7,799	35,461	0,0138	-0,186	0,847	-12,8
	22,800	179,02	99,78	79,25	0,446	7,037	46,456	0,0107	0,168	1,109	-12,8
	22,900	115,58	99,77	15,80	1,985	1,492	-76,812	0,0474	0,036	-1,834	-12,7
	23,000	104,45	99,77	4,68	0,745	-8,325	22,659	0,0178	-0,199	0,541	-12,6
	23,100	180,66	99,78	80,89	0,320	6,024	56,549	0,0077	0,144	1,350	-12,6
	23,200	134,70	99,77	34,92	1,949	2,985	-73,592	0,0465	0,071	-1,757	-12,5
	23,300	106,00	99,77	6,23	0,917	-8,694	9,464	0,0219	-0,208	0,226	-12,4
	23,400	167,48	99,78	67,71	0,210	4,877	65,267	0,0050	0,116	1,558	-12,3
	23,500	130,63	99,77	30,86	1,893	4,359	-68,722	0,0452	0,104	-1,641	-12,3
	23,600	99,58	99,77	-0,19	1,082	-8,867	-3,456	0,0258	-0,212	-0,082	-12,2
	23,700	170,77	99,78	71,00	0,119	3,668	72,610	0,0029	0,088	1,733	-12,1
	23,800	152,29	99,77	52,52	1,816	5,655	-62,439	0,0434	0,135	-1,491	-12,1
	23,900	100,41	99,77	0,63	1,250	-8,820	-16,493	0,0299	-0,211	-0,394	-12,0
	24,000	151,76	99,78	51,99	0,052	2,356	78,029	0,0012	0,056	1,863	-11,9
	24,100	148,13	99,77	48,36	1,722	6,786	-54,507	0,0411	0,162	-1,301	-11,9
	24,200	98,94	99,77	-0,84	1,409	-8,545	-28,824	0,0336	-0,204	-0,688	-11,8
	24,300	155,69	99,78	55,92	0,013	1,021	81,328	3,0000E-4	0,024	1,942	-11,7
	24,400	144,16	99,77	44,39	1,613	7,720	-45,514	0,0385	0,184	-1,087	-11,6
	24,500	98,79	99,77	-0,99	1,557	-8,082	-40,252	0,0372	-0,193	-0,961	-11,6
	24,600	159,52	99,78	59,74	-0,003	-0,330	82,624	-7,5000E-5	-0,008	1,972	-11,5
	24,700	165,60	99,78	65,82	1,491	8,443	-35,421	0,0356	0,202	-0,846	-11,4
	24,800	98,82	99,77	-0,95	1,685	-7,414	-50,305	0,0402	-0,177	-1,201	-11,4
	24,900	139,39	99,78	39,62	0,008	-1,618	81,524	1,8750E-4	-0,039	1,946	-11,3
	25,000	161,53	99,77	61,76	1,362	8,891	-24,858	0,0325	0,212	-0,593	-11,2
	25,100	101,20	99,77	1,43	1,786	-6,589	-58,748	0,0426	-0,157	-1,402	-11,1
	25,200	143,17	99,78	43,39	0,044	-2,859	78,658	0,0011	-0,068	1,878	-11,1
	25,300	178,11	99,78	78,34	1,214	9,142	-13,430	0,0290	0,218	-0,321	-11,0
	25,400	100,24	99,77	0,47	1,872	-5,545	-65,973	0,0447	-0,132	-1,575	-10,9
	25,500	124,14	99,77	24,37	0,105	-4,053	73,631	0,0025	-0,097	1,758	-10,9
	25,600	175,79	99,78	76,01	1,062	9,181	-1,571	0,0254	0,219	-0,037	-10,8
	25,700	108,31	99,78	8,54	1,942	-4,367	-71,825	0,0464	-0,104	-1,715	-10,7
	25,800	127,56	99,78	27,78	0,188	-5,184	66,798	0,0045	-0,124	1,595	-10,7
	25,900	183,02	99,78	83,24	0,905	8,993	10,760	0,0216	0,215	0,257	-10,6
	26,000	106,31	99,77	6,54	1,987	-3,032	-75,948	0,0474	-0,072	-1,813	-10,5
	26,100	111,98	99,77	12,21	0,298	-6,197	57,884	0,0071	-0,148	1,382	-10,5
	26,200	182,81	99,78	83,04	0,748	8,545	23,169	0,0179	0,204	0,553	-10,4
	26,300	121,17	99,77	21,40	2,007	-1,563	-78,186	0,0479	-0,037	-1,867	-10,3
