FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
1,38	1,38	5,38E-4	0,00	0,940				-1,310	4,477	7,854	-0,0313	0,107	0,188		0,940				-0,748	-19,596	-65,777	-0,0179	-0,468	-1,570	
1,40	1,40	6,46E-4	0,00	0,950	99,67	99,75	-0,08								0,950	98,38	99,76	-1,38							
1,43	1,43	6,56E-4	0,00	0,960				-1,219	4,595	5,890	-0,0291	0,110	0,141		0,960				-1,155	-19,321	90,321	-0,0276	-0,461	2,156	
1,45	1,45	6,43E-4	0,00	0,980				-1,126	4,712	4,909	-0,0269	0,112	0,117		0,980				-1,521	-15,983	223,839	-0,0363	-0,382	5,344	
1,48	1,48	5,63E-4	0,00	1,000	99,71	99,75	-0,04	-1,030	4,791	2,945	-0,0246	0,114	0,070	24,5	1,000	98,47	99,76	-1,29	-1,794	-10,367	310,233	-0,0428	-0,247	7,406	24,6
1,50	1,50	7,71E-4	0,00	1,020				-0,935	4,830	0,982	-0,0223	0,115	0,023		1,020				-1,935	-3,574	349,502	-0,0462	-0,085	8,344	
1,53	1,53	6,36E-4	0,00	1,040				-0,837	4,830	-1,963	-0,0200	0,115	-0,047		1,040				-1,937	3,613	351,466	-0,0462	0,086	8,391	
1,55	1,55	8,00E-4	0,00	1,050	99,75	99,75	0,00								1,050	99,60	99,76	-0,16							
1,57	1,57	9,24E-4	0,00	1,060				-0,741	4,752	-3,927	-0,0177	0,113	-0,094		1,060				-1,791	10,485	308,269	-0,0428	0,250	7,359	
1,60	1,60	8,72E-4	0,00	1,080				-0,647	4,673	-5,890	-0,0154	0,112	-0,141		1,080				-1,517	15,944	216,966	-0,0362	0,381	5,180	
