FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
				238,350	99,88	99,76	0,12																		
				238,360				0,038	-1,846	-399,572	9,0000E-4	-0,044	-9,539												
				238,380				-0,083	-9,739	-350,484	-0,0020	-0,233	-8,367												
				238,400	99,08	99,75	-0,68	-0,352	-15,865	-237,583	-0,0084	-0,379	-5,672	24,6											
				238,420				-0,718	-19,242	-89,339	-0,0171	-0,459	-2,133												
				238,440				-1,122	-19,439	65,777	-0,0268	-0,464	1,570												
				238,450	98,28	99,77	-1,49																		
				238,460				-1,495	-16,611	200,277	-0,0357	-0,397	4,781												
				238,480				-1,786	-11,428	293,543	-0,0426	-0,273	7,008												
				238,500	98,79	99,76	-0,97	-1,953	-4,869	340,667	-0,0466	-0,116	8,133	24,6											
				238,520				-1,981	2,199	349,502	-0,0473	0,053	8,344												
				238,540				-1,865	9,111	317,105	-0,0445	0,218	7,570												
				238,550	99,85	99,76	0,09																		
				238,560				-1,616	14,883	236,601	-0,0386	0,355	5,648												
				238,580				-1,269	18,575	117,810	-0,0303	0,443	2,812												
				238,600	101,06	99,76	1,30	-0,873	19,596	-27,489	-0,0208	0,468	-0,656	24,6											
				238,620				-0,485	17,475	-182,605	-0,0116	0,417	-4,359												
				238,640				-0,174	12,291	-309,251	-0,0042	0,293	-7,383												
				238,650	100,48	99,76	0,72																		
				238,660				0,006	5,105	-382,882	1,5000E-4	0,122	-9,141												
				238,680				0,030	-3,024	-397,608	7,1250E-4	-0,072	-9,492												
				238,700	99,49	99,76	-0,28	-0,115	-10,799	-340,667	-0,0027	-0,258	-8,133	24,6											
				238,720				-0,402	-16,650	-218,930	-0,0096	-0,397	-5,227												
				238,740				-0,781	-19,556	-64,795	-0,0186	-0,467	-1,547												
				238,750	98,39	99,76	-1,36																		
				238,760				-1,184	-19,242	90,321	-0,0283	-0,459	2,156												
				238,780				-1,550	-15,944	220,893	-0,0370	-0,381	5,273												
				238,800	98,49	99,76	-1,27	-1,822	-10,407	304,342	-0,0435	-0,248	7,266	24,6											
				238,820				-1,967	-3,770	342,630	-0,0469	-0,090	8,180												
				238,840				-1,973	3,299	347,539	-0,0471	0,079	8,297												
				238,850	99,59	99,76	-0,17																		
				238,860				-1,835	10,132	308,269	-0,0438	0,242	7,359												
				238,880				-1,568	15,629	219,912	-0,0374	0,373	5,250												
				238,900	100,55	99,76	0,79	-1,210	18,928	95,230	-0,0289	0,452	2,273	24,6											
				238,920				-0,811	19,439	-53,014	-0,0193	0,464	-1,266												
				238,940				-0,432	16,808	-204,204	-0,0103	0,401	-4,875												
				238,950	101,02	99,77	1,25																		
				238,960				-0,138	11,270	-322,013	-0,0033	0,269	-7,687												
				238,980				0,019	3,927	-386,809	4,5000E-4	0,094	-9,234												
				239,000	99,73	99,76	-0,03	0,019	-4,202	-393,681	4,5000E-4	-0,100	-9,398	24,6											
				239,020				-0,149	-11,820	-326,922	-0,0036	-0,282	-7,805												
				239,040				-0,454	-17,279	-197,331	-0,0108	-0,413	-4,711												
				239,050	98,63	99,76	-1,13																		
				239,060				-0,840	-19,714	-40,252	-0,0201	-0,471	-0,961												
				239,080				-1,243	-18,889	111,919	-0,0297	-0,451	2,672												
				239,100	98,31	99,76	-1,45	-1,596	-15,237	234,638	-0,0381	-0,364	5,602	24,6											
				239,120				-1,852	-9,503	313,178	-0,0442	-0,227	7,477												
				239,140				-1,976	-2,710	346,557	-0,0472	-0,065	8,273												
				239,150	99,25	99,76	-0,51																		
				239,160				-1,960	4,359	343,612	-0,0468	0,104	8,203												
				239,180				-1,802	11,035	297,470	-0,0430	0,263	7,102												
				239,200	100,01	99,76	0,25	-1,519	16,258	203,222	-0,0363	0,388	4,852	24,6											
				239,220				-1,151	19,164	73,631	-0,0275	0,458	1,758												
				239,240				-0,752	19,203	-75,595	-0,0180	0,458	-1,805												
				239,250	101,27	99,76	1,51																		
				239,260				-0,383	16,140	-222,857	-0,0091	0,385	-5,320												
				239,280				-0,107	10,289	-332,813	-0,0025	0,246	-7,945												
				239,300	100,27	99,76	0,52	0,028	2,827	-389,754	6,7500E-4	0,067	-9,305	24,6											
				239,320				0,006	-5,301	-388,772	1,5000E-4	-0,127	-9,281												
				239,340				-0,184	-12,723	-311,214	-0,0044	-0,304	-7,430												
				239,350	99,03	99,76	-0,73																		
				239,360				-0,503	-17,750	-177,696	-0,0120	-0,424	-4,242												
				239,380				-0,894	-19,831	-21,598	-0,0213	-0,473	-0,516												
				239,400	98,29	99,75	-1,46	-1,296	-18,614	132,536	-0,0309	-0,444	3,164	24,6											
				239,420				-1,638	-14,530	251,328	-0,0391	-0,347	6,000												
				239,440				-1,877	-8,561	319,068	-0,0448	-0,204	7,617												
				239,450	98,83	99,76	-0,93																		
				239,460				-1,981	-1,767	347,539	-0,0473	-0,042	8,297												
				239,480				-1,948	5,341	342,630	-0,0465	0,127	8,180												
				239,500	99,64	99,76	-0,12	-1,767	11,938	286,671	-0,0422	0,285	6,844	24,6											
				239,520				-1,470	16,808	185,550	-0,0351	0,401	4,430												
				239,540				-1,095	19,360	53,996	-0,0261	0,462	1,289												
				239,550	101,12	99,76	1,36																		
				239,560				-0,696	18,967	-98,175	-0,0166	0,453	-2,344												
				239,580				-0,336	15,433	-242,492	-0,0080	0,368	-5,789												
				239,600	100,87	99,76	1,11	-0,079	9,268	-343,612	-0,0019	0,221	-8,203	24,6											
				239,620				0,035	1,689	-391,718	8,2500E-4	0,040	-9,352												
				239,640				-0,011	-6,401	-380,918	-2,6250E-4	-0,153	-9,094												
				239,650	99,46	99,76	-0,30																		
				239,660				-0,221	-13,548	-295,506	-0,0053	-0,323	-7,055												
				239,680				-0,553	-18,221	-156,098	-0,0132	-0,435	-3,727												
				239,700	98,53	99,76	-1,23	-0,950	-19,792	-3,237E-10	-0,0227	-0,473	-7,727E-12	24,6											
				239,720				-1,345	-18,221	148,244	-0,0321	-0,435	3,539												
				239,740				-1,679	-13,862	264,090	-0,0401	-0,331	6,305												
				239,750	98,50	99,76	-1,27																		
				239,760				-1,899	-7,658	326,922	-0,0453	-0,183	7,805												
				239,780				-1,985	-0,785	350,484	-0,0474	-0,019	8,367												
				239,800	99,61	99,76	-0,16	-1,931	6,362	338,703	-0,0461	0,152	8,086	24,6											
				239,820				-1,731	12,763	275,871	-0,0413	0,305	6,586												
				239,840				-1,420	17,397	170,824	-0,0339	0,415	4,078												
				239,850	100,60	99,76	0,84																		
				239,860				-1,035	19,596	31,416	-0,0247	0,468	0,750												
				239,880				-0,636	18,653	-122,719	-0,0152	0,445	-2,930												
				239,900	100,98	99,76	1,22	-0,289	14,687	-261,145	-0,0069	0,351	-6,234	24,6											
				239,920				-0,049	8,207	-359,320	-0,0012	0,196	-8,578												
				239,940				0,039	0,314	-395,645	9,3750E-4	0,008	-9,445												
				239,950	99,70	99,75	-0,05																		
				239,960				-0,036	-7,618	-367,174	-8,6250E-4	-0,182	-8,766												
				239,980				-0,265	-14,373	-274,890	-0,0063	-0,343	-6,562												
				240,000	98,62	99,76	-1,14	-0,611	-18,614	-132,536	-0,0146	-0,444	-3,164	24,6											
				240,020				-1,010	-19,674	23,562	-0,0241	-0,470	0,562												
				240,040				-1,398	-17,671	165,915	-0,0334	-0,422	3,961												
				240,050	98,33	99,76	-1,43																		
				240,060				-1,717	-13,038	272,926	-0,0410	-0,311	6,516												
				240,080				-1,920	-6,754	330,849	-0,0458	-0,161	7,898												
				240,100	99,28	99,76	-0,49	-1,987	0,196	347,539	-0,0474	0,005	8,297	24,6											
				240,120				-1,912	7,147	328,886	-0,0456	0,171	7,852												
				240,140				-1,701	13,352	267,036	-0,0406	0,319	6,375												
				240,150	100,02	99,76	0,26																		
				240,160				-1,378	17,829	157,080	-0,0329	0,426	3,750												
				240,180				-0,988	19,635	14,726	-0,0236	0,469	0,352												
				240,200	101,29	99,76	1,54	-0,592	18,418	-139,408	-0,0141	0,440	-3,328	24,6											
				240,220				-0,251	14,059	-278,817	-0,0060	0,336	-6,656												
				240,240				-0,030	7,265	-368,156	-7,1250E-4	0,173	-8,789												
				240,250	100,24	99,76	0,48																		
				240,260				0,039	-0,668	-398,590	9,3750E-4	-0,016	-9,516												
				240,280				-0,057	-8,679	-364,229	-0,0013	-0,207	-8,695												
				240,300	99,00	99,76	-0,76	-0,308	-15,237	-258,200	-0,0073	-0,364	-6,164	24,6											
				240,320				-0,666	-19,007	-110,938	-0,0159	-0,454	-2,648												
				240,340				-1,068	-19,674	45,160	-0,0255	-0,470	1,078												
				240,350	98,29	99,76	-1,47																		
				240,360				-1,453	-17,200	187,514	-0,0347	-0,411	4,477												
				240,380				-1,756	-12,174	286,671	-0,0419	-0,291	6,844												
				240,400	98,87	99,76	-0,89	-1,940	-5,733	337,721	-0,0463	-0,137	8,062	24,6											
				240,420				-1,985	1,335	349,502	-0,0474	0,032	8,344												
				240,440				-1,887	8,247	322,013	-0,0450	0,197	7,687												
				240,450	99,66	99,76	-0,10																		
				240,460				-1,656	14,216	251,328	-0,0395	0,339	6,000												
				240,480				-1,318	18,300	135,481	-0,0315	0,437	3,234												
				240,500	101,16	99,76	1,40	-0,924	19,635	-10,799	-0,0220	0,469	-0,258	24,6											
				240,520				-0,533	17,868	-163,952	-0,0127	0,427	-3,914												
				240,540				-0,209	13,077	-293,543	-0,0050	0,312	-7,008												
				240,550	100,84	99,76	1,08																		
				240,560				-0,009	6,126	-375,028	-2,2500E-4	0,146	-8,953												
				240,580				0,036	-1,924	-401,535	8,6250E-4	-0,046	-9,586												
				240,600	99,42	99,76	-0,34	-0,086	-9,935	-354,411	-0,0021	-0,237	-8,461	24,6											
				240,620				-0,361	-16,101	-235,620	-0,0086	-0,384	-5,625												
				240,640				-0,730	-19,360	-84,430	-0,0174	-0,462	-2,016												
				240,650	98,49	99,76	-1,27																		
				240,660				-1,136	-19,478	70,686	-0,0271	-0,465	1,688												
				240,680				-1,510	-16,533	206,167	-0,0360	-0,395	4,922												
				240,700	98,53	99,76	-1,23	-1,797	-11,231	299,433	-0,0429	-0,268	7,148	24,6											
				240,720				-1,959	-4,555	345,575	-0,0468	-0,109	8,250												
				240,740				-1,979	2,592	350,484	-0,0472	0,062	8,367												
				240,750	99,41	99,76	-0,35																		
				240,760				-1,855	9,464	313,178	-0,0443	0,226	7,477												
				240,780				-1,601	15,119	230,711	-0,0382	0,361	5,508												
				240,800	100,65	99,77	0,89	-1,250	18,692	109,956	-0,0298	0,446	2,625	24,6											
				240,820				-0,853	19,517	-36,325	-0,0204	0,466	-0,867												
				240,840				-0,470	17,240	-188,496	-0,0112	0,412	-4,500												
				240,850	101,20	99,76	1,44																		
				240,860				-0,163	11,977	-311,214	-0,0039	0,286	-7,430												
				240,880				0,009	4,791	-382,882	2,2500E-4	0,114	-9,141												
				240,900	99,67	99,76	-0,10	0,028	-3,338	-396,626	6,7500E-4	-0,080	-9,469	24,6											
				240,920				-0,124	-11,074	-335,758	-0,0030	-0,264	-8,016												
				240,940				-0,415	-16,768	-214,021	-0,0099	-0,400	-5,109												
				240,950	98,86	99,76	-0,90																		
				240,960				-0,795	-19,635	-59,887	-0,0190	-0,469	-1,430												
				240,980				-1,200	-19,164	95,230	-0,0286	-0,457	2,273												
				241,000	98,32	99,76	-1,44	-1,561	-15,826	223,839	-0,0373	-0,378	5,344	24,6											
				241,020				-1,833	-10,210	310,233	-0,0438	-0,244	7,406												
				241,040				-1,970	-3,416	348,521	-0,0470	-0,082	8,320												
				241,050	99,02	99,76	-0,74																		
				241,060				-1,970	3,731	349,502	-0,0470	0,089	8,344												
				241,080				-1,821	10,564	305,324	-0,0435	0,252	7,289												
				241,100	100,11	99,77	0,34	-1,547	15,944	212,058	-0,0369	0,381	5,063	24,6											
				241,120				-1,183	19,046	84,430	-0,0282	0,455	2,016												
				241,140				-0,785	19,321	-62,832	-0,0187	0,461	-1,500												
				241,150	101,19	99,77	1,43																		
				241,160				-0,410	16,533	-212,058	-0,0098	0,395	-5,063												
				241,180				-0,124	10,839	-325,940	-0,0030	0,259	-7,781												
				241,200	100,15	99,76	0,39	0,024	3,495	-386,809	5,6250E-4	0,083	-9,234	24,6											
				241,220				0,016	-4,634	-388,772	3,7500E-4	-0,111	-9,281												
				241,240				-0,162	-12,056	-317,105	-0,0039	-0,288	-7,570												
				241,250	99,29	99,76	-0,47																		
				241,260				-0,467	-17,318	-190,459	-0,0111	-0,413	-4,547												
				241,280				-0,855	-19,674	-37,306	-0,0204	-0,470	-0,891												
				241,300	98,30	99,76	-1,46	-1,253	-18,810	113,883	-0,0299	-0,449	2,719	24,6											
				241,320				-1,607	-15,119	238,565	-0,0384	-0,361	5,695												
				241,340				-1,858	-9,268	315,141	-0,0444	-0,221	7,523												
				241,350	98,91	99,76	-0,85																		
				241,360				-1,978	-2,513	348,521	-0,0472	-0,060	8,320												
				241,380				-1,959	4,673	348,521	-0,0468	0,112	8,320												
				241,400	99,68	99,76	-0,08	-1,791	11,428	295,506	-0,0427	0,273	7,055	24,6											
				241,420				-1,502	16,493	197,331	-0,0358	0,394	4,711												
				241,440				-1,131	19,321	67,741	-0,0270	0,461	1,617												
				241,450	101,17	99,76	1,41																		
				241,460				-0,729	19,203	-86,394	-0,0174	0,458	-2,062												
				241,480				-0,363	15,865	-233,656	-0,0087	0,379	-5,578												
				241,500	100,75	99,76	0,98	-0,094	9,857	-338,703	-0,0022	0,235	-8,086	24,6											
				241,520				0,031	2,317	-389,754	7,5000E-4	0,055	-9,305												
				241,540				-0,002	-5,733	-382,882	-3,7500E-5	-0,137	-9,141												
				241,550	99,38	99,76	-0,38																		
				241,560				-0,198	-12,998	-302,379	-0,0047	-0,310	-7,219												
				241,580				-0,522	-17,829	-166,897	-0,0124	-0,426	-3,984												
				241,600	98,49	99,76	-1,28	-0,911	-19,674	-15,708	-0,0217	-0,470	-0,375	24,6											
				241,620				-1,308	-18,457	133,518	-0,0312	-0,441	3,187												
				241,640				-1,649	-14,334	253,291	-0,0394	-0,342	6,047												
				241,650	98,55	99,76	-1,22																		
				241,660				-1,882	-8,325	320,050	-0,0449	-0,199	7,641												
				241,680				-1,982	-1,532	346,557	-0,0473	-0,037	8,273												
				241,700	99,43	99,76	-0,33	-1,943	5,537	340,667	-0,0464	0,132	8,133	24,6											
				241,720				-1,761	12,095	286,671	-0,0420	0,289	6,844												
				241,740				-1,459	17,004	185,550	-0,0348	0,406	4,430												
				241,750	100,70	99,76	0,95																		
				241,760				-1,081	19,517	49,087	-0,0258	0,466	1,172												
				241,780				-0,679	18,967	-106,029	-0,0162	0,453	-2,531												
				241,800	101,20	99,76	1,44	-0,322	15,276	-249,364	-0,0077	0,365	-5,953	24,6											
				241,820				-0,068	8,993	-351,466	-0,0016	0,215	-8,391												
				241,840				0,038	1,217	-395,645	9,0000E-4	0,029	-9,445												
				241,850	99,64	99,76	-0,13																		
				241,860				-0,019	-6,833	-376,991	-4,5000E-4	-0,163	-9,000												
				241,880				-0,236	-13,862	-287,652	-0,0056	-0,331	-6,867												
				241,900	98,83	99,76	-0,93	-0,573	-18,339	-146,281	-0,0137	-0,438	-3,492	24,6											
				241,920				-0,969	-19,714	7,854	-0,0231	-0,471	0,187												
				241,940				-1,362	-18,025	153,153	-0,0325	-0,430	3,656												
				241,950	98,35	99,76	-1,41																		
				241,960				-1,690	-13,587	266,054	-0,0403	-0,324	6,352												
				241,980				-1,905	-7,383	326,922	-0,0455	-0,176	7,805												
				242,000	99,04	99,76	-0,72	-1,985	-0,511	347,539	-0,0474	-0,012	8,297	24,6											
				242,020				-1,926	6,519	335,758	-0,0460	0,156	8,016												
				242,040				-1,725	12,920	275,871	-0,0412	0,308	6,586												
				242,050	100,14	99,76	0,38																		
				242,060				-1,409	17,554	166,897	-0,0336	0,419	3,984												
				242,080				-1,023	19,596	25,525	-0,0244	0,468	0,609												
				242,100	101,21	99,76	1,45	-0,625	18,575	-126,646	-0,0149	0,443	-3,023	24,6											
				242,120				-0,280	14,530	-265,072	-0,0067	0,347	-6,328												
				242,140				-0,044	7,972	-360,302	-0,0010	0,190	-8,602												
				242,150	100,11	99,76	0,35																		
				242,160				0,039	0,118	-397,608	9,3750E-4	0,003	-9,492												
				242,180				-0,039	-7,933	-371,101	-9,3750E-4	-0,189	-8,859												
				242,200	99,26	99,76	-0,50	-0,278	-14,726	-270,963	-0,0066	-0,352	-6,469	24,6											
				242,220				-0,628	-18,771	-125,664	-0,0150	-0,448	-3,000												
				242,240				-1,029	-19,753	31,416	-0,0246	-0,472	0,750												
				242,250	98,31	99,76	-1,45																		
				242,260				-1,418	-17,514	175,733	-0,0339	-0,418	4,195												
				242,280				-1,729	-12,723	277,835	-0,0413	-0,304	6,633												
				242,300	98,67	99,77	-1,10	-1,927	-6,401	332,813	-0,0460	-0,153	7,945	24,6											
				242,320				-1,985	0,589	348,521	-0,0474	0,014	8,320												
				242,340				-1,904	7,540	327,904	-0,0454	0,180	7,828												
				242,350	99,70	99,76	-0,06																		
				242,360				-1,684	13,705	260,163	-0,0402	0,327	6,211												
				242,380				-1,356	17,946	147,262	-0,0324	0,428	3,516												
				242,400	100,80	99,76	1,04	-0,966	19,596	4,909	-0,0231	0,468	0,117	24,6											
				242,420				-0,572	18,143	-147,262	-0,0136	0,433	-3,516												
				242,440				-0,240	13,705	-278,817	-0,0057	0,327	-6,656												
				242,450	100,73	99,77	0,96																		
				242,460				-0,024	6,990	-366,192	-5,6250E-4	0,167	-8,742												
				242,480				0,039	-0,942	-396,626	9,3750E-4	-0,022	-9,469												
				242,500	99,57	99,76	-0,19	-0,061	-8,875	-358,338	-0,0015	-0,212	-8,555	24,6											
				242,520				-0,316	-15,276	-254,273	-0,0075	-0,365	-6,070												
				242,540				-0,672	-19,046	-109,956	-0,0160	-0,455	-2,625												
				242,550	98,47	99,76	-1,28																		
				242,560				-1,078	-19,674	48,106	-0,0257	-0,470	1,148												
				242,580				-1,459	-17,122	190,459	-0,0348	-0,409	4,547												
				242,600	98,39	99,76	-1,38	-1,762	-12,056	288,634	-0,0421	-0,288	6,891	24,6											
				242,620				-1,942	-5,576	338,703	-0,0463	-0,133	8,086												
				242,640				-1,985	1,492	351,466	-0,0474	0,036	8,391												
				242,650	99,46	99,76	-0,30																		
				242,660				-1,882	8,482	322,995	-0,0449	0,202	7,711												
				242,680				-1,646	14,412	248,382	-0,0393	0,344	5,930												
				242,700	100,30	99,76	0,54	-1,305	18,418	129,591	-0,0312	0,440	3,094	24,6											
				242,720				-0,909	19,596	-17,671	-0,0217	0,468	-0,422												
				242,740				-0,522	17,711	-167,879	-0,0124	0,423	-4,008												
				242,750	101,18	99,76	1,42																		
				242,760				-0,201	12,881	-294,525	-0,0048	0,307	-7,031												
				242,780				-0,006	5,930	-375,028	-1,5000E-4	0,142	-8,953												
				242,800	99,95	99,76	0,19	0,036	-2,121	-397,608	8,6250E-4	-0,051	-9,492	24,6											
				242,820				-0,091	-9,975	-347,539	-0,0022	-0,238	-8,297												
				242,840				-0,363	-16,022	-233,656	-0,0087	-0,383	-5,578												
				242,850	98,80	99,76	-0,95																		
				242,860				-0,732	-19,321	-84,430	-0,0175	-0,461	-2,016												
				242,880				-1,136	-19,399	70,686	-0,0271	-0,463	1,687												
				242,900	98,35	99,76	-1,42	-1,508	-16,493	204,204	-0,0360	-0,394	4,875	24,6											
				242,920				-1,795	-11,231	297,470	-0,0429	-0,268	7,102												
				242,940				-1,957	-4,595	343,612	-0,0467	-0,110	8,203												
				242,950	99,06	99,76	-0,70																		
				242,960				-1,979	2,513	350,484	-0,0472	0,060	8,367												
				242,980				-1,857	9,425	316,123	-0,0443	0,225	7,547												
				243,000	100,17	99,76	0,42	-1,602	15,158	231,693	-0,0382	0,362	5,531	24,6											
				243,020				-1,250	18,692	107,992	-0,0298	0,446	2,578												
				243,040				-0,855	19,478	-36,325	-0,0204	0,465	-0,867												
				243,050	101,21	99,76	1,45																		
				243,060				-0,471	17,240	-185,550	-0,0112	0,412	-4,430												
				243,080				-0,165	12,056	-310,233	-0,0039	0,288	-7,406												
				243,100	100,08	99,76	0,32	0,011	4,830	-383,864	2,6250E-4	0,115	-9,164	24,6											
				243,120				0,028	-3,299	-394,663	6,7500E-4	-0,079	-9,422												
				243,140				-0,121	-10,956	-335,758	-0,0029	-0,262	-8,016												
				243,150	99,24	99,76	-0,52																		
				243,160				-0,410	-16,729	-214,021	-0,0098	-0,399	-5,109												
				243,180				-0,790	-19,517	-60,868	-0,0189	-0,466	-1,453												
				243,200	98,30	99,76	-1,46	-1,191	-19,164	91,303	-0,0284	-0,457	2,180	24,6											
				243,220				-1,557	-15,865	221,875	-0,0372	-0,379	5,297												
				243,240				-1,825	-10,289	305,324	-0,0436	-0,246	7,289												
				243,250	98,67	99,77	-1,09																		
				243,260				-1,968	-3,652	343,612	-0,0470	-0,087	8,203												
				243,280				-1,971	3,456	348,521	-0,0471	0,082	8,320												
				243,300	99,72	99,76	-0,04	-1,830	10,289	307,287	-0,0437	0,246	7,336	24,6											
				243,320				-1,560	15,747	217,948	-0,0372	0,376	5,203												
				243,340				-1,200	19,007	93,266	-0,0286	0,454	2,227												
				243,350	100,83	99,76	1,07																		
				243,360				-0,800	19,478	-55,960	-0,0191	0,465	-1,336												
				243,380				-0,421	16,768	-210,094	-0,0100	0,400	-5,016												
				243,400	100,70	99,76	0,94	-0,129	11,074	-328,886	-0,0031	0,264	-7,852	24,6											
				243,420				0,022	3,613	-388,772	5,2500E-4	0,086	-9,281												
				243,440				0,016	-4,477	-391,718	3,7500E-4	-0,107	-9,352												
				243,450	99,55	99,76	-0,21																		
				243,460				-0,157	-12,056	-322,995	-0,0037	-0,288	-7,711												
				243,480				-0,467	-17,397	-192,423	-0,0111	-0,415	-4,594												
				243,500	98,45	99,76	-1,31	-0,853	-19,753	-35,343	-0,0204	-0,472	-0,844	24,6											
				243,520				-1,257	-18,810	118,792	-0,0300	-0,449	2,836												
				243,540				-1,605	-15,001	237,583	-0,0383	-0,358	5,672												
				243,550	98,40	99,77	-1,37																		
				243,560				-1,857	-9,307	311,214	-0,0443	-0,222	7,430												
				243,580				-1,978	-2,553	347,539	-0,0472	-0,061	8,297												
				243,600	99,49	99,76	-0,27	-1,959	4,595	344,594	-0,0468	0,110	8,227	24,6											
				243,620				-1,794	11,231	294,525	-0,0428	0,268	7,031												
				243,640				-1,510	16,376	201,258	-0,0360	0,391	4,805												
				243,650	100,35	99,76	0,59																		
				243,660				-1,139	19,282	70,686	-0,0272	0,460	1,687												
				243,680				-0,738	19,203	-82,467	-0,0176	0,458	-1,969												
				243,700	101,16	99,76	1,40	-0,371	15,983	-228,747	-0,0088	0,382	-5,461	24,6											
				243,720				-0,099	10,053	-336,740	-0,0024	0,240	-8,039												
				243,740				0,031	2,513	-391,718	7,5000E-4	0,060	-9,352												
				243,750	99,90	99,76	0,14																		
				243,760				0,002	-5,616	-387,791	3,7500E-5	-0,134	-9,258												
				243,780				-0,193	-12,998	-308,269	-0,0046	-0,310	-7,359												
				243,800	98,77	99,76	-0,99	-0,518	-17,946	-169,842	-0,0124	-0,428	-4,055	24,6											
				243,820				-0,911	-19,792	-12,763	-0,0217	-0,472	-0,305												
				243,840				-1,310	-18,457	136,463	-0,0313	-0,441	3,258												
				243,850	98,30	99,76	-1,46																		
				243,860				-1,649	-14,334	253,291	-0,0394	-0,342	6,047												
				243,880				-1,883	-8,325	321,032	-0,0450	-0,199	7,664												
				243,900	99,10	99,76	-0,66	-1,982	-1,492	346,557	-0,0473	-0,036	8,273	24,6											
				243,920				-1,943	5,537	337,721	-0,0464	0,132	8,062												
				243,940				-1,761	12,017	283,725	-0,0420	0,287	6,773												
				243,950	99,84	99,76	0,08																		
				243,960				-1,462	16,886	184,569	-0,0349	0,403	4,406												
				243,980				-1,085	19,399	52,033	-0,0259	0,463	1,242												
				244,000	101,24	99,76	1,48	-0,686	18,967	-101,120	-0,0164	0,453	-2,414	24,6											
				244,020				-0,327	15,355	-246,419	-0,0078	0,367	-5,883												
				244,040				-0,072	9,111	-349,502	-0,0017	0,218	-8,344												
				244,050	100,50	99,76	0,74																		
				244,060				0,038	1,374	-396,626	9,0000E-4	0,033	-9,469												
				244,080				-0,017	-6,754	-378,955	-4,1250E-4	-0,161	-9,047												
				244,100	99,21	99,76	-0,55	-0,232	-13,784	-290,598	-0,0055	-0,329	-6,937	24,6											
				244,120				-0,569	-18,378	-151,189	-0,0136	-0,439	-3,609												
				244,140				-0,968	-19,831	6,872	-0,0231	-0,473	0,164												
				244,150	98,41	99,77	-1,36																		
				244,160				-1,362	-18,103	155,116	-0,0325	-0,432	3,703												
				244,180				-1,692	-13,627	268,999	-0,0404	-0,325	6,422												
				244,200	98,71	99,76	-1,05	-1,907	-7,343	330,849	-0,0455	-0,175	7,898	24,6											
				244,220				-1,985	-0,393	349,502	-0,0474	-0,009	8,344												
				244,240				-1,923	6,637	334,776	-0,0459	0,158	7,992												
				244,250	99,58	99,77	-0,18																		
				244,260				-1,720	12,998	272,926	-0,0411	0,310	6,516												
				244,280				-1,403	17,554	163,952	-0,0335	0,419	3,914												
				244,300	100,87	99,76	1,11	-1,018	19,556	24,544	-0,0243	0,467	0,586	24,6											
				244,320				-0,620	18,535	-127,627	-0,0148	0,442	-3,047												
				244,340				-0,276	14,451	-265,072	-0,0066	0,345	-6,328												
				244,350	101,03	99,76	1,27																		
				244,360				-0,042	7,933	-358,338	-0,0010	0,189	-8,555												
				244,380				0,041	0,118	-395,645	9,7500E-4	0,003	-9,445												
				244,400	99,54	99,76	-0,22	-0,038	-7,893	-367,174	-9,0000E-4	-0,188	-8,766	24,6											
				244,420				-0,275	-14,569	-268,017	-0,0066	-0,348	-6,398												
				244,440				-0,620	-18,614	-128,609	-0,0148	-0,444	-3,070												
				244,450	98,46	99,76	-1,30																		
				244,460				-1,019	-19,714	24,544	-0,0243	-0,471	0,586												
				244,480				-1,409	-17,632	171,806	-0,0336	-0,421	4,102												
				244,500	98,41	99,76	-1,35	-1,725	-12,841	276,853	-0,0412	-0,307	6,609	24,6											
				244,520				-1,923	-6,558	331,831	-0,0459	-0,157	7,922												
				244,540				-1,987	0,432	350,484	-0,0474	0,010	8,367												
				244,550	99,52	99,75	-0,24																		
				244,560				-1,905	7,461	329,867	-0,0455	0,178	7,875												
				244,580				-1,689	13,627	264,090	-0,0403	0,325	6,305												
				244,600	100,39	99,76	0,63	-1,360	18,025	150,208	-0,0325	0,430	3,586	24,6											
				244,620				-0,968	19,635	3,927	-0,0231	0,469	0,094												
				244,640				-0,575	18,182	-146,281	-0,0137	0,434	-3,492												
				244,650	101,14	99,76	1,38																		
				244,660				-0,240	13,784	-279,798	-0,0057	0,329	-6,680												
				244,680				-0,024	6,990	-368,156	-5,6250E-4	0,167	-8,789												
