FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
0,94	0,94	3,68E-4	0,00	0,640				-1,978	-0,511	18,653	-0,0472	-0,012	0,445		0,640				-1,073	-19,635	60,868	-0,0256	-0,469	1,453		3,800	100,27	99,76	0,51	0,055	-1,869	-80,935	0,0013	-0,045	-1,932	24,1
0,96	0,96	4,31E-4	0,00	0,650	99,49	99,75	-0,27								0,650	98,28	99,76	-1,48								3,900	110,71	99,76	10,94	-1,528	-7,281	48,734	-0,0365	-0,174	1,163	24,1
0,99	0,99	3,22E-4	0,00	0,660				-1,984	-0,157	17,671	-0,0474	-0,004	0,422		0,660				-1,455	-16,847	201,258	-0,0347	-0,402	4,805		4,000	170,18	99,77	70,41	-1,401	7,878	39,231	-0,0335	0,188	0,937	24,1
1,01	1,01	3,82E-4	0,00	0,680				-1,984	0,196	19,635	-0,0474	0,005	0,469		0,680				-1,747	-11,585	295,506	-0,0417	-0,277	7,055		4,100	114,16	99,77	14,40	0,047	0,565	-80,975	0,0011	0,013	-1,933	24,1
1,04	1,04	3,70E-4	0,00	0,700	99,51	99,75	-0,25	-1,976	0,628	20,617	-0,0472	0,015	0,492	24,5	0,700	98,78	99,76	-0,98	-1,918	-5,027	343,612	-0,0458	-0,120	8,203	24,6	4,200	110,54	99,76	10,78	-1,288	-8,317	29,020	-0,0308	-0,199	0,693	24,1
1,06	1,06	4,09E-4	0,00	0,720				-1,959	1,021	19,635	-0,0468	0,024	0,469		0,720				-1,948	2,160	354,411	-0,0465	0,052	8,461		4,300	166,89	99,77	67,12	-1,616	6,370	56,706	-0,0386	0,152	1,354	24,0
1,09	1,09	3,99E-4	0,00	0,740				-1,935	1,414	19,635	-0,0462	0,034	0,469		0,740				-1,832	9,150	320,050	-0,0437	0,218	7,641		4,400	114,64	99,76	14,87	-0,014	3,024	-76,184	-3,3750E-4	0,072	-1,819	24,0
1,11	1,11	3,49E-4	0,00	0,750	99,54	99,75	-0,21								0,750	99,86	99,76	0,10								4,500	99,45	99,76	-0,32	-1,012	-8,867	7,069	-0,0242	-0,212	0,169	24,0
1,14	1,14	4,13E-4	0,00	0,760				-1,902	1,806	18,653	-0,0454	0,043	0,445		0,760				-1,582	14,962	237,583	-0,0378	0,357	5,672		4,600	166,62	99,77	66,85	-1,788	4,438	70,843	-0,0427	0,106	1,691	24,0
1,16	1,16	5,08E-4	0,00	0,780				-1,863	2,160	18,653	-0,0445	0,052	0,445		0,780				-1,233	18,653	115,846	-0,0294	0,445	2,766		4,700	137,43	99,77	37,67	-0,124	5,301	-66,641	-0,0030	0,127	-1,591	24,0
